cdf_element	cdf_internal_name	raw_identifier_value
CandidateContest	WY House District 1	House District 1
CandidateContest	WY House District 2	House District 2
CandidateContest	WY House District 3	House District 3
CandidateContest	WY House District 4	House District 4
CandidateContest	WY House District 5	House District 5
CandidateContest	WY House District 6	House District 6
CandidateContest	WY House District 7	House District 7
CandidateContest	WY House District 8	House District 8
CandidateContest	WY House District 9	House District 9
CandidateContest	WY House District 10	House District 10
CandidateContest	WY House District 11	House District 11
CandidateContest	WY House District 12	House District 12
CandidateContest	WY House District 13	House District 13
CandidateContest	WY House District 14	House District 14
CandidateContest	WY House District 15	House District 15
CandidateContest	WY House District 16	House District 16
CandidateContest	WY House District 17	House District 17
CandidateContest	WY House District 18	House District 18
CandidateContest	WY House District 19	House District 19
CandidateContest	WY House District 20	House District 20
CandidateContest	WY House District 21	House District 21
CandidateContest	WY House District 22	House District 22
CandidateContest	WY House District 23	House District 23
CandidateContest	WY House District 24	House District 24
CandidateContest	WY House District 25	House District 25
CandidateContest	WY House District 26	House District 26
CandidateContest	WY House District 27	House District 27
CandidateContest	WY House District 28	House District 28
CandidateContest	WY House District 29	House District 29
CandidateContest	WY House District 30	House District 30
CandidateContest	WY House District 31	House District 31
CandidateContest	WY House District 32	House District 32
CandidateContest	WY House District 33	House District 33
CandidateContest	WY House District 34	House District 34
CandidateContest	WY House District 35	House District 35
CandidateContest	WY House District 36	House District 36
CandidateContest	WY House District 37	House District 37
CandidateContest	WY House District 38	House District 38
CandidateContest	WY House District 39	House District 39
CandidateContest	WY House District 40	House District 40
CandidateContest	WY House District 41	House District 41
CandidateContest	WY House District 42	House District 42
CandidateContest	WY House District 43	House District 43
CandidateContest	WY House District 44	House District 44
CandidateContest	WY House District 45	House District 45
CandidateContest	WY House District 46	House District 46
CandidateContest	WY House District 47	House District 47
CandidateContest	WY House District 48	House District 48
CandidateContest	WY House District 49	House District 49
CandidateContest	WY House District 50	House District 50
CandidateContest	WY House District 51	House District 51
CandidateContest	WY House District 52	House District 52
CandidateContest	WY House District 53	House District 53
CandidateContest	WY House District 54	House District 54
CandidateContest	WY House District 55	House District 55
CandidateContest	WY House District 56	House District 56
CandidateContest	WY House District 57	House District 57
CandidateContest	WY House District 58	House District 58
CandidateContest	WY House District 59	House District 59
CandidateContest	WY House District 60	House District 60
CandidateContest	WY Senate District 1	Senate District 1
CandidateContest	WY Senate District 2	Senate District 2
CandidateContest	WY Senate District 3	Senate District 3
CandidateContest	WY Senate District 4	Senate District 4
CandidateContest	WY Senate District 5	Senate District 5
CandidateContest	WY Senate District 6	Senate District 6
CandidateContest	WY Senate District 7	Senate District 7
CandidateContest	WY Senate District 8	Senate District 8
CandidateContest	WY Senate District 9	Senate District 9
CandidateContest	WY Senate District 10	Senate District 10
