Name	ElectionDistrict	VotesAllowed	NumberElected	NumberRunoff	IsPartisan
Florida;Governor	Florida;Governor	1	1	0	True
Florida;Attorney General	Florida;Attorney General	1	1	0	True
Florida;Chief Financial Officer	Florida;Chief Financial Officer	1	1	0	True
Florida;Commissioner of Agriculture	Florida;Commissioner of Agriculture	1	1	0	True
Florida;General Assembly House of Representatives District 1	Florida;General Assembly House of Representatives District 1	1	1	0	True
Florida;General Assembly House of Representatives District 2	Florida;General Assembly House of Representatives District 2	1	1	0	True
Florida;General Assembly House of Representatives District 3	Florida;General Assembly House of Representatives District 3	1	1	0	True
Florida;General Assembly House of Representatives District 4	Florida;General Assembly House of Representatives District 4	1	1	0	True
Florida;General Assembly House of Representatives District 5	Florida;General Assembly House of Representatives District 5	1	1	0	True
Florida;General Assembly House of Representatives District 6	Florida;General Assembly House of Representatives District 6	1	1	0	True
Florida;General Assembly House of Representatives District 7	Florida;General Assembly House of Representatives District 7	1	1	0	True
Florida;General Assembly House of Representatives District 8	Florida;General Assembly House of Representatives District 8	1	1	0	True
Florida;General Assembly House of Representatives District 9	Florida;General Assembly House of Representatives District 9	1	1	0	True
Florida;General Assembly House of Representatives District 10	Florida;General Assembly House of Representatives District 10	1	1	0	True
Florida;General Assembly House of Representatives District 11	Florida;General Assembly House of Representatives District 11	1	1	0	True
Florida;General Assembly House of Representatives District 12	Florida;General Assembly House of Representatives District 12	1	1	0	True
Florida;General Assembly House of Representatives District 13	Florida;General Assembly House of Representatives District 13	1	1	0	True
Florida;General Assembly House of Representatives District 14	Florida;General Assembly House of Representatives District 14	1	1	0	True
Florida;General Assembly House of Representatives District 15	Florida;General Assembly House of Representatives District 15	1	1	0	True
Florida;General Assembly House of Representatives District 16	Florida;General Assembly House of Representatives District 16	1	1	0	True
Florida;General Assembly House of Representatives District 17	Florida;General Assembly House of Representatives District 17	1	1	0	True
Florida;General Assembly House of Representatives District 18	Florida;General Assembly House of Representatives District 18	1	1	0	True
Florida;General Assembly House of Representatives District 19	Florida;General Assembly House of Representatives District 19	1	1	0	True
Florida;General Assembly House of Representatives District 20	Florida;General Assembly House of Representatives District 20	1	1	0	True
Florida;General Assembly House of Representatives District 21	Florida;General Assembly House of Representatives District 21	1	1	0	True
Florida;General Assembly House of Representatives District 22	Florida;General Assembly House of Representatives District 22	1	1	0	True
Florida;General Assembly House of Representatives District 23	Florida;General Assembly House of Representatives District 23	1	1	0	True
Florida;General Assembly House of Representatives District 24	Florida;General Assembly House of Representatives District 24	1	1	0	True
Florida;General Assembly House of Representatives District 25	Florida;General Assembly House of Representatives District 25	1	1	0	True
Florida;General Assembly House of Representatives District 26	Florida;General Assembly House of Representatives District 26	1	1	0	True
Florida;General Assembly House of Representatives District 27	Florida;General Assembly House of Representatives District 27	1	1	0	True
Florida;General Assembly House of Representatives District 28	Florida;General Assembly House of Representatives District 28	1	1	0	True
Florida;General Assembly House of Representatives District 29	Florida;General Assembly House of Representatives District 29	1	1	0	True
Florida;General Assembly House of Representatives District 30	Florida;General Assembly House of Representatives District 30	1	1	0	True
Florida;General Assembly House of Representatives District 31	Florida;General Assembly House of Representatives District 31	1	1	0	True
Florida;General Assembly House of Representatives District 32	Florida;General Assembly House of Representatives District 32	1	1	0	True
Florida;General Assembly House of Representatives District 33	Florida;General Assembly House of Representatives District 33	1	1	0	True
Florida;General Assembly House of Representatives District 34	Florida;General Assembly House of Representatives District 34	1	1	0	True
Florida;General Assembly House of Representatives District 35	Florida;General Assembly House of Representatives District 35	1	1	0	True
Florida;General Assembly House of Representatives District 36	Florida;General Assembly House of Representatives District 36	1	1	0	True
Florida;General Assembly House of Representatives District 37	Florida;General Assembly House of Representatives District 37	1	1	0	True
Florida;General Assembly House of Representatives District 38	Florida;General Assembly House of Representatives District 38	1	1	0	True
Florida;General Assembly House of Representatives District 39	Florida;General Assembly House of Representatives District 39	1	1	0	True
Florida;General Assembly House of Representatives District 40	Florida;General Assembly House of Representatives District 40	1	1	0	True
Florida;General Assembly House of Representatives District 41	Florida;General Assembly House of Representatives District 41	1	1	0	True
Florida;General Assembly House of Representatives District 42	Florida;General Assembly House of Representatives District 42	1	1	0	True
Florida;General Assembly House of Representatives District 43	Florida;General Assembly House of Representatives District 43	1	1	0	True
Florida;General Assembly House of Representatives District 44	Florida;General Assembly House of Representatives District 44	1	1	0	True
Florida;General Assembly House of Representatives District 45	Florida;General Assembly House of Representatives District 45	1	1	0	True
Florida;General Assembly House of Representatives District 46	Florida;General Assembly House of Representatives District 46	1	1	0	True
Florida;General Assembly House of Representatives District 47	Florida;General Assembly House of Representatives District 47	1	1	0	True
Florida;General Assembly House of Representatives District 48	Florida;General Assembly House of Representatives District 48	1	1	0	True
Florida;General Assembly House of Representatives District 49	Florida;General Assembly House of Representatives District 49	1	1	0	True
Florida;General Assembly House of Representatives District 50	Florida;General Assembly House of Representatives District 50	1	1	0	True
Florida;General Assembly House of Representatives District 51	Florida;General Assembly House of Representatives District 51	1	1	0	True
Florida;General Assembly House of Representatives District 52	Florida;General Assembly House of Representatives District 52	1	1	0	True
Florida;General Assembly House of Representatives District 53	Florida;General Assembly House of Representatives District 53	1	1	0	True
Florida;General Assembly House of Representatives District 54	Florida;General Assembly House of Representatives District 54	1	1	0	True
Florida;General Assembly House of Representatives District 55	Florida;General Assembly House of Representatives District 55	1	1	0	True
Florida;General Assembly House of Representatives District 56	Florida;General Assembly House of Representatives District 56	1	1	0	True
Florida;General Assembly House of Representatives District 57	Florida;General Assembly House of Representatives District 57	1	1	0	True
Florida;General Assembly House of Representatives District 58	Florida;General Assembly House of Representatives District 58	1	1	0	True
Florida;General Assembly House of Representatives District 59	Florida;General Assembly House of Representatives District 59	1	1	0	True
Florida;General Assembly House of Representatives District 60	Florida;General Assembly House of Representatives District 60	1	1	0	True
Florida;General Assembly House of Representatives District 61	Florida;General Assembly House of Representatives District 61	1	1	0	True
Florida;General Assembly House of Representatives District 62	Florida;General Assembly House of Representatives District 62	1	1	0	True
Florida;General Assembly House of Representatives District 63	Florida;General Assembly House of Representatives District 63	1	1	0	True
Florida;General Assembly House of Representatives District 64	Florida;General Assembly House of Representatives District 64	1	1	0	True
Florida;General Assembly House of Representatives District 65	Florida;General Assembly House of Representatives District 65	1	1	0	True
Florida;General Assembly House of Representatives District 66	Florida;General Assembly House of Representatives District 66	1	1	0	True
Florida;General Assembly House of Representatives District 67	Florida;General Assembly House of Representatives District 67	1	1	0	True
Florida;General Assembly House of Representatives District 68	Florida;General Assembly House of Representatives District 68	1	1	0	True
Florida;General Assembly House of Representatives District 69	Florida;General Assembly House of Representatives District 69	1	1	0	True
Florida;General Assembly House of Representatives District 70	Florida;General Assembly House of Representatives District 70	1	1	0	True
Florida;General Assembly House of Representatives District 71	Florida;General Assembly House of Representatives District 71	1	1	0	True
Florida;General Assembly House of Representatives District 72	Florida;General Assembly House of Representatives District 72	1	1	0	True
Florida;General Assembly House of Representatives District 73	Florida;General Assembly House of Representatives District 73	1	1	0	True
Florida;General Assembly House of Representatives District 74	Florida;General Assembly House of Representatives District 74	1	1	0	True
Florida;General Assembly House of Representatives District 75	Florida;General Assembly House of Representatives District 75	1	1	0	True
Florida;General Assembly House of Representatives District 76	Florida;General Assembly House of Representatives District 76	1	1	0	True
Florida;General Assembly House of Representatives District 77	Florida;General Assembly House of Representatives District 77	1	1	0	True
Florida;General Assembly House of Representatives District 78	Florida;General Assembly House of Representatives District 78	1	1	0	True
Florida;General Assembly House of Representatives District 79	Florida;General Assembly House of Representatives District 79	1	1	0	True
Florida;General Assembly House of Representatives District 80	Florida;General Assembly House of Representatives District 80	1	1	0	True
Florida;General Assembly House of Representatives District 81	Florida;General Assembly House of Representatives District 81	1	1	0	True
Florida;General Assembly House of Representatives District 82	Florida;General Assembly House of Representatives District 82	1	1	0	True
Florida;General Assembly House of Representatives District 83	Florida;General Assembly House of Representatives District 83	1	1	0	True
Florida;General Assembly House of Representatives District 84	Florida;General Assembly House of Representatives District 84	1	1	0	True
Florida;General Assembly House of Representatives District 85	Florida;General Assembly House of Representatives District 85	1	1	0	True
Florida;General Assembly House of Representatives District 86	Florida;General Assembly House of Representatives District 86	1	1	0	True
Florida;General Assembly House of Representatives District 87	Florida;General Assembly House of Representatives District 87	1	1	0	True
Florida;General Assembly House of Representatives District 88	Florida;General Assembly House of Representatives District 88	1	1	0	True
Florida;General Assembly House of Representatives District 89	Florida;General Assembly House of Representatives District 89	1	1	0	True
Florida;General Assembly House of Representatives District 90	Florida;General Assembly House of Representatives District 90	1	1	0	True
Florida;General Assembly House of Representatives District 91	Florida;General Assembly House of Representatives District 91	1	1	0	True
Florida;General Assembly House of Representatives District 92	Florida;General Assembly House of Representatives District 92	1	1	0	True
Florida;General Assembly House of Representatives District 93	Florida;General Assembly House of Representatives District 93	1	1	0	True
Florida;General Assembly House of Representatives District 94	Florida;General Assembly House of Representatives District 94	1	1	0	True
Florida;General Assembly House of Representatives District 95	Florida;General Assembly House of Representatives District 95	1	1	0	True
Florida;General Assembly House of Representatives District 96	Florida;General Assembly House of Representatives District 96	1	1	0	True
Florida;General Assembly House of Representatives District 97	Florida;General Assembly House of Representatives District 97	1	1	0	True
Florida;General Assembly House of Representatives District 98	Florida;General Assembly House of Representatives District 98	1	1	0	True
Florida;General Assembly House of Representatives District 99	Florida;General Assembly House of Representatives District 99	1	1	0	True
Florida;General Assembly House of Representatives District 100	Florida;General Assembly House of Representatives District 100	1	1	0	True
Florida;General Assembly House of Representatives District 101	Florida;General Assembly House of Representatives District 101	1	1	0	True
Florida;General Assembly House of Representatives District 102	Florida;General Assembly House of Representatives District 102	1	1	0	True
Florida;General Assembly House of Representatives District 103	Florida;General Assembly House of Representatives District 103	1	1	0	True
Florida;General Assembly House of Representatives District 104	Florida;General Assembly House of Representatives District 104	1	1	0	True
Florida;General Assembly House of Representatives District 105	Florida;General Assembly House of Representatives District 105	1	1	0	True
Florida;General Assembly House of Representatives District 106	Florida;General Assembly House of Representatives District 106	1	1	0	True
Florida;General Assembly House of Representatives District 107	Florida;General Assembly House of Representatives District 107	1	1	0	True
Florida;General Assembly House of Representatives District 108	Florida;General Assembly House of Representatives District 108	1	1	0	True
Florida;General Assembly House of Representatives District 109	Florida;General Assembly House of Representatives District 109	1	1	0	True
Florida;General Assembly House of Representatives District 110	Florida;General Assembly House of Representatives District 110	1	1	0	True
Florida;General Assembly House of Representatives District 111	Florida;General Assembly House of Representatives District 111	1	1	0	True
Florida;General Assembly House of Representatives District 112	Florida;General Assembly House of Representatives District 112	1	1	0	True
Florida;General Assembly House of Representatives District 113	Florida;General Assembly House of Representatives District 113	1	1	0	True
Florida;General Assembly House of Representatives District 114	Florida;General Assembly House of Representatives District 114	1	1	0	True
Florida;General Assembly House of Representatives District 115	Florida;General Assembly House of Representatives District 115	1	1	0	True
Florida;General Assembly House of Representatives District 116	Florida;General Assembly House of Representatives District 116	1	1	0	True
Florida;General Assembly House of Representatives District 117	Florida;General Assembly House of Representatives District 117	1	1	0	True
Florida;General Assembly House of Representatives District 118	Florida;General Assembly House of Representatives District 118	1	1	0	True
Florida;General Assembly House of Representatives District 119	Florida;General Assembly House of Representatives District 119	1	1	0	True
Florida;General Assembly House of Representatives District 120	Florida;General Assembly House of Representatives District 120	1	1	0	True
Florida;General Assembly Senate District 1	Florida;General Assembly Senate District 1	1	1	0	True
Florida;General Assembly Senate District 2	Florida;General Assembly Senate District 2	1	1	0	True
Florida;General Assembly Senate District 3	Florida;General Assembly Senate District 3	1	1	0	True
Florida;General Assembly Senate District 4	Florida;General Assembly Senate District 4	1	1	0	True
Florida;General Assembly Senate District 5	Florida;General Assembly Senate District 5	1	1	0	True
Florida;General Assembly Senate District 6	Florida;General Assembly Senate District 6	1	1	0	True
Florida;General Assembly Senate District 7	Florida;General Assembly Senate District 7	1	1	0	True
Florida;General Assembly Senate District 8	Florida;General Assembly Senate District 8	1	1	0	True
Florida;General Assembly Senate District 9	Florida;General Assembly Senate District 9	1	1	0	True
Florida;General Assembly Senate District 10	Florida;General Assembly Senate District 10	1	1	0	True
Florida;General Assembly Senate District 11	Florida;General Assembly Senate District 11	1	1	0	True
Florida;General Assembly Senate District 12	Florida;General Assembly Senate District 12	1	1	0	True
Florida;General Assembly Senate District 13	Florida;General Assembly Senate District 13	1	1	0	True
Florida;General Assembly Senate District 14	Florida;General Assembly Senate District 14	1	1	0	True
Florida;General Assembly Senate District 15	Florida;General Assembly Senate District 15	1	1	0	True
Florida;General Assembly Senate District 16	Florida;General Assembly Senate District 16	1	1	0	True
Florida;General Assembly Senate District 17	Florida;General Assembly Senate District 17	1	1	0	True
Florida;General Assembly Senate District 18	Florida;General Assembly Senate District 18	1	1	0	True
Florida;General Assembly Senate District 19	Florida;General Assembly Senate District 19	1	1	0	True
Florida;General Assembly Senate District 20	Florida;General Assembly Senate District 20	1	1	0	True
Florida;General Assembly Senate District 21	Florida;General Assembly Senate District 21	1	1	0	True
Florida;General Assembly Senate District 22	Florida;General Assembly Senate District 22	1	1	0	True
Florida;General Assembly Senate District 23	Florida;General Assembly Senate District 23	1	1	0	True
Florida;General Assembly Senate District 24	Florida;General Assembly Senate District 24	1	1	0	True
