Name	ElectionDistrict	VotesAllowed	NumberElected	NumberRunoff	IsPartisan
Michigan;General Assembly House of Representatives District 1	Michigan;General Assembly House of Representatives District 1	1	1	0	TRUE
Michigan;General Assembly House of Representatives District 2	Michigan;General Assembly House of Representatives District 2	1	1	0	TRUE
Michigan;General Assembly House of Representatives District 3	Michigan;General Assembly House of Representatives District 3	1	1	0	TRUE
Michigan;General Assembly House of Representatives District 4	Michigan;General Assembly House of Representatives District 4	1	1	0	TRUE
Michigan;General Assembly House of Representatives District 5	Michigan;General Assembly House of Representatives District 5	1	1	0	TRUE
Michigan;General Assembly House of Representatives District 6	Michigan;General Assembly House of Representatives District 6	1	1	0	TRUE
Michigan;General Assembly House of Representatives District 7	Michigan;General Assembly House of Representatives District 7	1	1	0	TRUE
Michigan;General Assembly House of Representatives District 8	Michigan;General Assembly House of Representatives District 8	1	1	0	TRUE
Michigan;General Assembly House of Representatives District 9	Michigan;General Assembly House of Representatives District 9	1	1	0	TRUE
Michigan;General Assembly House of Representatives District 10	Michigan;General Assembly House of Representatives District 10	1	1	0	TRUE
Michigan;General Assembly House of Representatives District 11	Michigan;General Assembly House of Representatives District 11	1	1	0	TRUE
Michigan;General Assembly House of Representatives District 12	Michigan;General Assembly House of Representatives District 12	1	1	0	TRUE
Michigan;General Assembly House of Representatives District 13	Michigan;General Assembly House of Representatives District 13	1	1	0	TRUE
Michigan;General Assembly House of Representatives District 14	Michigan;General Assembly House of Representatives District 14	1	1	0	TRUE
Michigan;General Assembly House of Representatives District 15	Michigan;General Assembly House of Representatives District 15	1	1	0	TRUE
Michigan;General Assembly House of Representatives District 16	Michigan;General Assembly House of Representatives District 16	1	1	0	TRUE
Michigan;General Assembly House of Representatives District 17	Michigan;General Assembly House of Representatives District 17	1	1	0	TRUE
Michigan;General Assembly House of Representatives District 18	Michigan;General Assembly House of Representatives District 18	1	1	0	TRUE
Michigan;General Assembly House of Representatives District 19	Michigan;General Assembly House of Representatives District 19	1	1	0	TRUE
Michigan;General Assembly House of Representatives District 20	Michigan;General Assembly House of Representatives District 20	1	1	0	TRUE
Michigan;General Assembly House of Representatives District 21	Michigan;General Assembly House of Representatives District 21	1	1	0	TRUE
Michigan;General Assembly House of Representatives District 22	Michigan;General Assembly House of Representatives District 22	1	1	0	TRUE
Michigan;General Assembly House of Representatives District 23	Michigan;General Assembly House of Representatives District 23	1	1	0	TRUE
Michigan;General Assembly House of Representatives District 24	Michigan;General Assembly House of Representatives District 24	1	1	0	TRUE
Michigan;General Assembly House of Representatives District 25	Michigan;General Assembly House of Representatives District 25	1	1	0	TRUE
Michigan;General Assembly House of Representatives District 26	Michigan;General Assembly House of Representatives District 26	1	1	0	TRUE
Michigan;General Assembly House of Representatives District 27	Michigan;General Assembly House of Representatives District 27	1	1	0	TRUE
Michigan;General Assembly House of Representatives District 28	Michigan;General Assembly House of Representatives District 28	1	1	0	TRUE
