Name	ElectionDistrict	ElectionDistrictType	VotesAllowed	NumberElected	NumberRunoff	IsPartisan
Michigan;General Assembly House of Representatives District 1	Michigan;General Assembly House of Representatives District 1	state-house	1	1	0	TRUE
Michigan;General Assembly House of Representatives District 2	Michigan;General Assembly House of Representatives District 2	state-house	1	1	0	TRUE
Michigan;General Assembly House of Representatives District 3	Michigan;General Assembly House of Representatives District 3	state-house	1	1	0	TRUE
Michigan;General Assembly House of Representatives District 4	Michigan;General Assembly House of Representatives District 4	state-house	1	1	0	TRUE
Michigan;General Assembly House of Representatives District 5	Michigan;General Assembly House of Representatives District 5	state-house	1	1	0	TRUE
Michigan;General Assembly House of Representatives District 6	Michigan;General Assembly House of Representatives District 6	state-house	1	1	0	TRUE
Michigan;General Assembly House of Representatives District 7	Michigan;General Assembly House of Representatives District 7	state-house	1	1	0	TRUE
Michigan;General Assembly House of Representatives District 8	Michigan;General Assembly House of Representatives District 8	state-house	1	1	0	TRUE
Michigan;General Assembly House of Representatives District 9	Michigan;General Assembly House of Representatives District 9	state-house	1	1	0	TRUE
Michigan;General Assembly House of Representatives District 10	Michigan;General Assembly House of Representatives District 10	state-house	1	1	0	TRUE
Michigan;General Assembly House of Representatives District 11	Michigan;General Assembly House of Representatives District 11	state-house	1	1	0	TRUE
Michigan;General Assembly House of Representatives District 12	Michigan;General Assembly House of Representatives District 12	state-house	1	1	0	TRUE
Michigan;General Assembly House of Representatives District 13	Michigan;General Assembly House of Representatives District 13	state-house	1	1	0	TRUE
Michigan;General Assembly House of Representatives District 14	Michigan;General Assembly House of Representatives District 14	state-house	1	1	0	TRUE
Michigan;General Assembly House of Representatives District 15	Michigan;General Assembly House of Representatives District 15	state-house	1	1	0	TRUE
Michigan;General Assembly House of Representatives District 16	Michigan;General Assembly House of Representatives District 16	state-house	1	1	0	TRUE
Michigan;General Assembly House of Representatives District 17	Michigan;General Assembly House of Representatives District 17	state-house	1	1	0	TRUE
Michigan;General Assembly House of Representatives District 18	Michigan;General Assembly House of Representatives District 18	state-house	1	1	0	TRUE
Michigan;General Assembly House of Representatives District 19	Michigan;General Assembly House of Representatives District 19	state-house	1	1	0	TRUE
Michigan;General Assembly House of Representatives District 20	Michigan;General Assembly House of Representatives District 20	state-house	1	1	0	TRUE
Michigan;General Assembly House of Representatives District 21	Michigan;General Assembly House of Representatives District 21	state-house	1	1	0	TRUE
Michigan;General Assembly House of Representatives District 22	Michigan;General Assembly House of Representatives District 22	state-house	1	1	0	TRUE
Michigan;General Assembly House of Representatives District 23	Michigan;General Assembly House of Representatives District 23	state-house	1	1	0	TRUE
