Table	Name	ExternalIdentifierType	ExternalIdentifierValue
ReportingUnit	North Carolina;Burke County	fips	3702300000
ReportingUnit	North Carolina	fips	3700000000
ReportingUnit	North Carolina;Alamance County	fips	3700100000
ReportingUnit	North Carolina;Alexander County	fips	3700300000
ReportingUnit	North Carolina;Alleghany County	fips	3700500000
ReportingUnit	North Carolina;Anson County	fips	3700700000
ReportingUnit	North Carolina;Ashe County	fips	3700900000
ReportingUnit	North Carolina;Avery County	fips	3701100000
ReportingUnit	North Carolina;Beaufort County	fips	3701300000
ReportingUnit	North Carolina;Bertie County	fips	3701500000
ReportingUnit	North Carolina;Bladen County	fips	3701700000
ReportingUnit	North Carolina;Brunswick County	fips	3701900000
ReportingUnit	North Carolina;Buncombe County	fips	3702100000
ReportingUnit	North Carolina;Cabarrus County	fips	3702500000
ReportingUnit	North Carolina;Caldwell County	fips	3702700000
ReportingUnit	North Carolina;Camden County	fips	3702900000
ReportingUnit	North Carolina;Carteret County	fips	3703100000
ReportingUnit	North Carolina;Caswell County	fips	3703300000
ReportingUnit	North Carolina;Catawba County	fips	3703500000
ReportingUnit	North Carolina;Chatham County	fips	3703700000
ReportingUnit	North Carolina;Cherokee County	fips	3703900000
ReportingUnit	North Carolina;Chowan County	fips	3704100000
ReportingUnit	North Carolina;Clay County	fips	3704300000
ReportingUnit	North Carolina;Cleveland County	fips	3704500000
ReportingUnit	North Carolina;Columbus County	fips	3704700000
ReportingUnit	North Carolina;Craven County	fips	3704900000
ReportingUnit	North Carolina;Cumberland County	fips	3705100000
ReportingUnit	North Carolina;Currituck County	fips	3705300000
ReportingUnit	North Carolina;Dare County	fips	3705500000
ReportingUnit	North Carolina;Davidson County	fips	3705700000
ReportingUnit	North Carolina;Davie County	fips	3705900000
ReportingUnit	North Carolina;Duplin County	fips	3706100000
ReportingUnit	North Carolina;Durham County	fips	3706300000
ReportingUnit	North Carolina;Edgecombe County	fips	3706500000
ReportingUnit	North Carolina;Forsyth County	fips	3706700000
ReportingUnit	North Carolina;Franklin County	fips	3706900000
ReportingUnit	North Carolina;Gaston County	fips	3707100000
ReportingUnit	North Carolina;Gates County	fips	3707300000
ReportingUnit	North Carolina;Graham County	fips	3707500000
ReportingUnit	North Carolina;Granville County	fips	3707700000
ReportingUnit	North Carolina;Greene County	fips	3707900000
ReportingUnit	North Carolina;Guilford County	fips	3708100000
ReportingUnit	North Carolina;Halifax County	fips	3708300000
ReportingUnit	North Carolina;Harnett County	fips	3708500000
ReportingUnit	North Carolina;Haywood County	fips	3708700000
ReportingUnit	North Carolina;Henderson County	fips	3708900000
ReportingUnit	North Carolina;Hertford County	fips	3709100000
ReportingUnit	North Carolina;Hoke County	fips	3709300000
ReportingUnit	North Carolina;Hyde County	fips	3709500000
ReportingUnit	North Carolina;Iredell County	fips	3709700000
ReportingUnit	North Carolina;Jackson County	fips	3709900000
ReportingUnit	North Carolina;Johnston County	fips	3710100000
ReportingUnit	North Carolina;Jones County	fips	3710300000
ReportingUnit	North Carolina;Lee County	fips	3710500000
ReportingUnit	North Carolina;Lenoir County	fips	3710700000
ReportingUnit	North Carolina;Lincoln County	fips	3710900000
ReportingUnit	North Carolina;McDowell County	fips	3711100000
ReportingUnit	North Carolina;Macon County	fips	3711300000
ReportingUnit	North Carolina;Madison County	fips	3711500000
ReportingUnit	North Carolina;Martin County	fips	3711700000
ReportingUnit	North Carolina;Mecklenburg County	fips	3711900000
ReportingUnit	North Carolina;Mitchell County	fips	3712100000
ReportingUnit	North Carolina;Montgomery County	fips	3712300000
ReportingUnit	North Carolina;Moore County	fips	3712500000
ReportingUnit	North Carolina;Nash County	fips	3712700000
ReportingUnit	North Carolina;New Hanover County	fips	3712900000
ReportingUnit	North Carolina;Northampton County	fips	3713100000
ReportingUnit	North Carolina;Onslow County	fips	3713300000
ReportingUnit	North Carolina;Orange County	fips	3713500000
ReportingUnit	North Carolina;Pamlico County	fips	3713700000
ReportingUnit	North Carolina;Pasquotank County	fips	3713900000
ReportingUnit	North Carolina;Pender County	fips	3714100000
ReportingUnit	North Carolina;Perquimans County	fips	3714300000
ReportingUnit	North Carolina;Person County	fips	3714500000
ReportingUnit	North Carolina;Pitt County	fips	3714700000
ReportingUnit	North Carolina;Polk County	fips	3714900000
ReportingUnit	North Carolina;Randolph County	fips	3715100000
ReportingUnit	North Carolina;Richmond County	fips	3715300000
ReportingUnit	North Carolina;Robeson County	fips	3715500000
ReportingUnit	North Carolina;Rockingham County	fips	3715700000
ReportingUnit	North Carolina;Rowan County	fips	3715900000
ReportingUnit	North Carolina;Rutherford County	fips	3716100000
ReportingUnit	North Carolina;Sampson County	fips	3716300000
ReportingUnit	North Carolina;Scotland County	fips	3716500000
ReportingUnit	North Carolina;Stanly County	fips	3716700000
ReportingUnit	North Carolina;Stokes County	fips	3716900000
ReportingUnit	North Carolina;Surry County	fips	3717100000
ReportingUnit	North Carolina;Swain County	fips	3717300000
ReportingUnit	North Carolina;Transylvania County	fips	3717500000
ReportingUnit	North Carolina;Tyrrell County	fips	3717700000
