County	Election Date	Precinct	Contest Group ID	Contest Type	Contest Name	Choice	Choice Party	Vote For	Election Day	One Stop	Absentee by Mail	Provisional	Total Votes	Real Precinct
CHEROKEE	11/6/18	BRAS	1123	S	NC HOUSE OF REPRESENTATIVES DISTRICT 120	Aaron Martin	DEM	1	63	86	3	0	152	Y
CHEROKEE	11/6/18	BELL	1123	S	NC HOUSE OF REPRESENTATIVES DISTRICT 120	Aaron Martin	DEM	1	71	99	10	0	180	Y
CHEROKEE	11/6/18	MARB	1123	S	NC HOUSE OF REPRESENTATIVES DISTRICT 120	Aaron Martin	DEM	1	68	65	3	0	136	Y
CHEROKEE	11/6/18	HIWA	1123	S	NC HOUSE OF REPRESENTATIVES DISTRICT 120	Aaron Martin	DEM	1	101	125	4	0	230	Y
CHEROKEE	11/6/18	CSON	1123	S	NC HOUSE OF REPRESENTATIVES DISTRICT 120	Aaron Martin	DEM	1	50	48	1	0	99	Y
CHEROKEE	11/6/18	HANG	1123	S	NC HOUSE OF REPRESENTATIVES DISTRICT 120	Aaron Martin	DEM	1	28	32	1	0	61	Y
CHEROKEE	11/6/18	ANSW	1123	S	NC HOUSE OF REPRESENTATIVES DISTRICT 120	Aaron Martin	DEM	1	130	66	4	0	200	Y
CHEROKEE	11/6/18	RGER	1123	S	NC HOUSE OF REPRESENTATIVES DISTRICT 120	Aaron Martin	DEM	1	89	117	4	0	210	Y
CHEROKEE	11/6/18	MURS	1123	S	NC HOUSE OF REPRESENTATIVES DISTRICT 120	Aaron Martin	DEM	1	96	169	12	0	277	Y
CHEROKEE	11/6/18	ANNW	1123	S	NC HOUSE OF REPRESENTATIVES DISTRICT 120	Aaron Martin	DEM	1	103	71	12	0	186	Y
CHEROKEE	11/6/18	HOTH	1123	S	NC HOUSE OF REPRESENTATIVES DISTRICT 120	Aaron Martin	DEM	1	56	78	4	0	138	Y
CHEROKEE	11/6/18	MURN	1123	S	NC HOUSE OF REPRESENTATIVES DISTRICT 120	Aaron Martin	DEM	1	126	174	12	0	312	Y
CHEROKEE	11/6/18	GCRK	1123	S	NC HOUSE OF REPRESENTATIVES DISTRICT 120	Aaron Martin	DEM	1	21	17	1	0	39	Y
CHEROKEE	11/6/18	TOPT	1123	S	NC HOUSE OF REPRESENTATIVES DISTRICT 120	Aaron Martin	DEM	1	23	19	0	0	42	Y
CHEROKEE	11/6/18	PCHT	1123	S	NC HOUSE OF REPRESENTATIVES DISTRICT 120	Aaron Martin	DEM	1	109	155	14	0	278	Y
CHEROKEE	11/6/18	UNKA	1123	S	NC HOUSE OF REPRESENTATIVES DISTRICT 120	Aaron Martin	DEM	1	35	33	2	0	70	Y
CHEROKEE	11/6/18	MURN	1123	S	NC HOUSE OF REPRESENTATIVES DISTRICT 120	Kevin Corbin	REP	1	300	401	23	2	726	Y
CHEROKEE	11/6/18	ANSW	1123	S	NC HOUSE OF REPRESENTATIVES DISTRICT 120	Kevin Corbin	REP	1	434	156	11	1	602	Y
CHEROKEE	11/6/18	MARB	1123	S	NC HOUSE OF REPRESENTATIVES DISTRICT 120	Kevin Corbin	REP	1	280	223	9	1	513	Y
CHEROKEE	11/6/18	GCRK	1123	S	NC HOUSE OF REPRESENTATIVES DISTRICT 120	Kevin Corbin	REP	1	125	82	2	1	210	Y
CHEROKEE	11/6/18	TOPT	1123	S	NC HOUSE OF REPRESENTATIVES DISTRICT 120	Kevin Corbin	REP	1	165	35	10	1	211	Y
CHEROKEE	11/6/18	HOTH	1123	S	NC HOUSE OF REPRESENTATIVES DISTRICT 120	Kevin Corbin	REP	1	299	242	17	0	558	Y
CHEROKEE	11/6/18	PCHT	1123	S	NC HOUSE OF REPRESENTATIVES DISTRICT 120	Kevin Corbin	REP	1	421	403	15	0	839	Y
CHEROKEE	11/6/18	ANNW	1123	S	NC HOUSE OF REPRESENTATIVES DISTRICT 120	Kevin Corbin	REP	1	340	185	12	2	539	Y
CHEROKEE	11/6/18	UNKA	1123	S	NC HOUSE OF REPRESENTATIVES DISTRICT 120	Kevin Corbin	REP	1	137	89	2	0	228	Y
CHEROKEE	11/6/18	HIWA	1123	S	NC HOUSE OF REPRESENTATIVES DISTRICT 120	Kevin Corbin	REP	1	432	331	25	0	788	Y
CHEROKEE	11/6/18	BELL	1123	S	NC HOUSE OF REPRESENTATIVES DISTRICT 120	Kevin Corbin	REP	1	240	236	6	0	482	Y
CHEROKEE	11/6/18	MURS	1123	S	NC HOUSE OF REPRESENTATIVES DISTRICT 120	Kevin Corbin	REP	1	340	529	14	0	883	Y
CHEROKEE	11/6/18	RGER	1123	S	NC HOUSE OF REPRESENTATIVES DISTRICT 120	Kevin Corbin	REP	1	312	333	12	0	657	Y
