Contest	Selection	CountItemType	Count
ALAMANCE COUNTY COMMUNITY COLLEGE BONDS	No	absentee-mail	445
ALAMANCE COUNTY COMMUNITY COLLEGE BONDS	No	early	9664
ALAMANCE COUNTY COMMUNITY COLLEGE BONDS	No	election-day	8272
ALAMANCE COUNTY COMMUNITY COLLEGE BONDS	No	provisional	73
ALAMANCE COUNTY COMMUNITY COLLEGE BONDS	No	total	18454
ALAMANCE COUNTY COMMUNITY COLLEGE BONDS	Yes	absentee-mail	748
ALAMANCE COUNTY COMMUNITY COLLEGE BONDS	Yes	early	19584
ALAMANCE COUNTY COMMUNITY COLLEGE BONDS	Yes	election-day	15283
ALAMANCE COUNTY COMMUNITY COLLEGE BONDS	Yes	provisional	170
ALAMANCE COUNTY COMMUNITY COLLEGE BONDS	Yes	total	35785
ALAMANCE COUNTY LOCAL SALES AND USE TAX	Against	absentee-mail	702
ALAMANCE COUNTY LOCAL SALES AND USE TAX	Against	early	15471
ALAMANCE COUNTY LOCAL SALES AND USE TAX	Against	election-day	13375
ALAMANCE COUNTY LOCAL SALES AND USE TAX	Against	provisional	153
ALAMANCE COUNTY LOCAL SALES AND USE TAX	Against	total	29701
ALAMANCE COUNTY LOCAL SALES AND USE TAX	For	absentee-mail	495
ALAMANCE COUNTY LOCAL SALES AND USE TAX	For	early	13929
ALAMANCE COUNTY LOCAL SALES AND USE TAX	For	election-day	10398
ALAMANCE COUNTY LOCAL SALES AND USE TAX	For	provisional	91
ALAMANCE COUNTY LOCAL SALES AND USE TAX	For	total	24913
ALAMANCE COUNTY SCHOOL BONDS	No	absentee-mail	435
ALAMANCE COUNTY SCHOOL BONDS	No	early	8805
ALAMANCE COUNTY SCHOOL BONDS	No	election-day	7343
ALAMANCE COUNTY SCHOOL BONDS	No	provisional	69
ALAMANCE COUNTY SCHOOL BONDS	No	total	16652
ALAMANCE COUNTY SCHOOL BONDS	Yes	absentee-mail	758
ALAMANCE COUNTY SCHOOL BONDS	Yes	early	20563
ALAMANCE COUNTY SCHOOL BONDS	Yes	election-day	16388
ALAMANCE COUNTY SCHOOL BONDS	Yes	provisional	174
ALAMANCE COUNTY SCHOOL BONDS	Yes	total	37883
ALLEGHANY COUNTY LOCAL SALES AND USE TAX	Against	absentee-mail	47
ALLEGHANY COUNTY LOCAL SALES AND USE TAX	Against	early	1582
ALLEGHANY COUNTY LOCAL SALES AND USE TAX	Against	election-day	953
ALLEGHANY COUNTY LOCAL SALES AND USE TAX	Against	provisional	0
ALLEGHANY COUNTY LOCAL SALES AND USE TAX	Against	total	2582
ALLEGHANY COUNTY LOCAL SALES AND USE TAX	For	absentee-mail	40
ALLEGHANY COUNTY LOCAL SALES AND USE TAX	For	early	1232
ALLEGHANY COUNTY LOCAL SALES AND USE TAX	For	election-day	589
ALLEGHANY COUNTY LOCAL SALES AND USE TAX	For	provisional	0
ALLEGHANY COUNTY LOCAL SALES AND USE TAX	For	total	1861
ANSON COUNTY MALT BEVERAGE ELECTION - HOTELS, ETC.	Against	absentee-mail	95
ANSON COUNTY MALT BEVERAGE ELECTION - HOTELS, ETC.	Against	early	2421
ANSON COUNTY MALT BEVERAGE ELECTION - HOTELS, ETC.	Against	election-day	2261
ANSON COUNTY MALT BEVERAGE ELECTION - HOTELS, ETC.	Against	provisional	17
ANSON COUNTY MALT BEVERAGE ELECTION - HOTELS, ETC.	Against	total	4794
ANSON COUNTY MALT BEVERAGE ELECTION - HOTELS, ETC.	For	absentee-mail	52
ANSON COUNTY MALT BEVERAGE ELECTION - HOTELS, ETC.	For	early	1148
ANSON COUNTY MALT BEVERAGE ELECTION - HOTELS, ETC.	For	election-day	1647
ANSON COUNTY MALT BEVERAGE ELECTION - HOTELS, ETC.	For	provisional	13
ANSON COUNTY MALT BEVERAGE ELECTION - HOTELS, ETC.	For	total	2860
ANSON COUNTY MALT BEVERAGE ELECTION - OFF PREMISES ONLY	Against	absentee-mail	111
ANSON COUNTY MALT BEVERAGE ELECTION - OFF PREMISES ONLY	Against	early	2663
ANSON COUNTY MALT BEVERAGE ELECTION - OFF PREMISES ONLY	Against	election-day	2579
ANSON COUNTY MALT BEVERAGE ELECTION - OFF PREMISES ONLY	Against	provisional	21
ANSON COUNTY MALT BEVERAGE ELECTION - OFF PREMISES ONLY	Against	total	5374
ANSON COUNTY MALT BEVERAGE ELECTION - OFF PREMISES ONLY	For	absentee-mail	36
