Contest	Selection	CountItemType	Count
Bald Head Island Beach Improvement Bonds	No	absentee-mail	9
Bald Head Island Beach Improvement Bonds	No	early	5
Bald Head Island Beach Improvement Bonds	No	election-day	8
Bald Head Island Beach Improvement Bonds	No	provisional	0
Bald Head Island Beach Improvement Bonds	No	total	22
Bald Head Island Beach Improvement Bonds	Yes	absentee-mail	2
Bald Head Island Beach Improvement Bonds	Yes	early	49
Bald Head Island Beach Improvement Bonds	Yes	election-day	18
Bald Head Island Beach Improvement Bonds	Yes	provisional	0
Bald Head Island Beach Improvement Bonds	Yes	total	69
Maysville Fire Tax Election	Against	absentee-mail	0
Maysville Fire Tax Election	Against	early	0
Maysville Fire Tax Election	Against	election-day	21
Maysville Fire Tax Election	Against	provisional	0
Maysville Fire Tax Election	Against	total	21
North Carolina;General Assembly House of Representatives District 1 Primary;North Carolina Republican Party	Candice Hunter	absentee-mail	17
North Carolina;General Assembly House of Representatives District 1 Primary;North Carolina Republican Party	Candice Hunter	early	560
North Carolina;General Assembly House of Representatives District 1 Primary;North Carolina Republican Party	Candice Hunter	election-day	1034
North Carolina;General Assembly House of Representatives District 1 Primary;North Carolina Republican Party	Candice Hunter	provisional	0
North Carolina;General Assembly House of Representatives District 1 Primary;North Carolina Republican Party	Candice Hunter	total	1611
North Carolina;General Assembly House of Representatives District 1 Primary;North Carolina Republican Party	Edward C. Goodwin	absentee-mail	42
North Carolina;General Assembly House of Representatives District 1 Primary;North Carolina Republican Party	Edward C. Goodwin	early	1452
North Carolina;General Assembly House of Representatives District 1 Primary;North Carolina Republican Party	Edward C. Goodwin	election-day	2468
North Carolina;General Assembly House of Representatives District 1 Primary;North Carolina Republican Party	Edward C. Goodwin	provisional	12
North Carolina;General Assembly House of Representatives District 1 Primary;North Carolina Republican Party	Edward C. Goodwin	total	3974
North Carolina;General Assembly House of Representatives District 101 Primary;North Carolina Democratic Party	Carolyn Logan	absentee-mail	38
North Carolina;General Assembly House of Representatives District 101 Primary;North Carolina Democratic Party	Carolyn Logan	early	1584
North Carolina;General Assembly House of Representatives District 101 Primary;North Carolina Democratic Party	Carolyn Logan	election-day	3526
North Carolina;General Assembly House of Representatives District 101 Primary;North Carolina Democratic Party	Carolyn Logan	provisional	2
North Carolina;General Assembly House of Representatives District 101 Primary;North Carolina Democratic Party	Carolyn Logan	total	5150
North Carolina;General Assembly House of Representatives District 101 Primary;North Carolina Democratic Party	Chance Harris	absentee-mail	4
North Carolina;General Assembly House of Representatives District 101 Primary;North Carolina Democratic Party	Chance Harris	early	151
North Carolina;General Assembly House of Representatives District 101 Primary;North Carolina Democratic Party	Chance Harris	election-day	587
North Carolina;General Assembly House of Representatives District 101 Primary;North Carolina Democratic Party	Chance Harris	provisional	0
North Carolina;General Assembly House of Representatives District 101 Primary;North Carolina Democratic Party	Chance Harris	total	742
North Carolina;General Assembly House of Representatives District 101 Primary;North Carolina Democratic Party	Lucille Puckett	absentee-mail	11
North Carolina;General Assembly House of Representatives District 101 Primary;North Carolina Democratic Party	Lucille Puckett	early	359
North Carolina;General Assembly House of Representatives District 101 Primary;North Carolina Democratic Party	Lucille Puckett	election-day	1093
North Carolina;General Assembly House of Representatives District 101 Primary;North Carolina Democratic Party	Lucille Puckett	provisional	0
North Carolina;General Assembly House of Representatives District 101 Primary;North Carolina Democratic Party	Lucille Puckett	total	1463
North Carolina;General Assembly House of Representatives District 101 Primary;North Carolina Democratic Party	Mr. Gregory J. Miller	absentee-mail	1
North Carolina;General Assembly House of Representatives District 101 Primary;North Carolina Democratic Party	Mr. Gregory J. Miller	early	88
North Carolina;General Assembly House of Representatives District 101 Primary;North Carolina Democratic Party	Mr. Gregory J. Miller	election-day	283
North Carolina;General Assembly House of Representatives District 101 Primary;North Carolina Democratic Party	Mr. Gregory J. Miller	provisional	0
North Carolina;General Assembly House of Representatives District 101 Primary;North Carolina Democratic Party	Mr. Gregory J. Miller	total	372
North Carolina;General Assembly House of Representatives District 102 Primary;North Carolina Democratic Party	Becky Carney	absentee-mail	70
North Carolina;General Assembly House of Representatives District 102 Primary;North Carolina Democratic Party	Becky Carney	early	1736
North Carolina;General Assembly House of Representatives District 102 Primary;North Carolina Democratic Party	Becky Carney	election-day	6906
North Carolina;General Assembly House of Representatives District 102 Primary;North Carolina Democratic Party	Becky Carney	provisional	20
North Carolina;General Assembly House of Representatives District 102 Primary;North Carolina Democratic Party	Becky Carney	total	8732
North Carolina;General Assembly House of Representatives District 102 Primary;North Carolina Democratic Party	Josh Jarrett	absentee-mail	6
North Carolina;General Assembly House of Representatives District 102 Primary;North Carolina Democratic Party	Josh Jarrett	early	214
North Carolina;General Assembly House of Representatives District 102 Primary;North Carolina Democratic Party	Josh Jarrett	election-day	785
North Carolina;General Assembly House of Representatives District 102 Primary;North Carolina Democratic Party	Josh Jarrett	provisional	3
North Carolina;General Assembly House of Representatives District 102 Primary;North Carolina Democratic Party	Josh Jarrett	total	1008
North Carolina;General Assembly House of Representatives District 105 Primary;North Carolina Democratic Party	Ayoub Ouederni	absentee-mail	13
North Carolina;General Assembly House of Representatives District 105 Primary;North Carolina Democratic Party	Ayoub Ouederni	early	329
North Carolina;General Assembly House of Representatives District 105 Primary;North Carolina Democratic Party	Ayoub Ouederni	election-day	597
North Carolina;General Assembly House of Representatives District 105 Primary;North Carolina Democratic Party	Ayoub Ouederni	provisional	1
North Carolina;General Assembly House of Representatives District 105 Primary;North Carolina Democratic Party	Ayoub Ouederni	total	940
North Carolina;General Assembly House of Representatives District 105 Primary;North Carolina Democratic Party	Wesley Harris	absentee-mail	30
North Carolina;General Assembly House of Representatives District 105 Primary;North Carolina Democratic Party	Wesley Harris	early	1370
North Carolina;General Assembly House of Representatives District 105 Primary;North Carolina Democratic Party	Wesley Harris	election-day	3086
North Carolina;General Assembly House of Representatives District 105 Primary;North Carolina Democratic Party	Wesley Harris	provisional	2
North Carolina;General Assembly House of Representatives District 105 Primary;North Carolina Democratic Party	Wesley Harris	total	4488
North Carolina;General Assembly House of Representatives District 106 Primary;North Carolina Democratic Party	Blanche Penn	absentee-mail	0
North Carolina;General Assembly House of Representatives District 106 Primary;North Carolina Democratic Party	Blanche Penn	early	129
North Carolina;General Assembly House of Representatives District 106 Primary;North Carolina Democratic Party	Blanche Penn	election-day	375
North Carolina;General Assembly House of Representatives District 106 Primary;North Carolina Democratic Party	Blanche Penn	provisional	1
North Carolina;General Assembly House of Representatives District 106 Primary;North Carolina Democratic Party	Blanche Penn	total	505
North Carolina;General Assembly House of Representatives District 106 Primary;North Carolina Democratic Party	Carla Cunningham	absentee-mail	50
North Carolina;General Assembly House of Representatives District 106 Primary;North Carolina Democratic Party	Carla Cunningham	early	2318
North Carolina;General Assembly House of Representatives District 106 Primary;North Carolina Democratic Party	Carla Cunningham	election-day	5700
North Carolina;General Assembly House of Representatives District 106 Primary;North Carolina Democratic Party	Carla Cunningham	provisional	4
North Carolina;General Assembly House of Representatives District 106 Primary;North Carolina Democratic Party	Carla Cunningham	total	8072
North Carolina;General Assembly House of Representatives District 11 Primary;North Carolina Democratic Party	Allison Dahle	absentee-mail	104
North Carolina;General Assembly House of Representatives District 11 Primary;North Carolina Democratic Party	Allison Dahle	early	1418
North Carolina;General Assembly House of Representatives District 11 Primary;North Carolina Democratic Party	Allison Dahle	election-day	7480
North Carolina;General Assembly House of Representatives District 11 Primary;North Carolina Democratic Party	Allison Dahle	provisional	32
North Carolina;General Assembly House of Representatives District 11 Primary;North Carolina Democratic Party	Allison Dahle	total	9034
North Carolina;General Assembly House of Representatives District 11 Primary;North Carolina Democratic Party	Duane Hall	absentee-mail	28
North Carolina;General Assembly House of Representatives District 11 Primary;North Carolina Democratic Party	Duane Hall	early	376
North Carolina;General Assembly House of Representatives District 11 Primary;North Carolina Democratic Party	Duane Hall	election-day	1338
North Carolina;General Assembly House of Representatives District 11 Primary;North Carolina Democratic Party	Duane Hall	provisional	4
North Carolina;General Assembly House of Representatives District 11 Primary;North Carolina Democratic Party	Duane Hall	total	1746
North Carolina;General Assembly House of Representatives District 11 Primary;North Carolina Democratic Party	Heather Metour	absentee-mail	5
North Carolina;General Assembly House of Representatives District 11 Primary;North Carolina Democratic Party	Heather Metour	early	54
North Carolina;General Assembly House of Representatives District 11 Primary;North Carolina Democratic Party	Heather Metour	election-day	267
North Carolina;General Assembly House of Representatives District 11 Primary;North Carolina Democratic Party	Heather Metour	provisional	2
North Carolina;General Assembly House of Representatives District 11 Primary;North Carolina Democratic Party	Heather Metour	total	328
North Carolina;General Assembly House of Representatives District 11 Primary;North Carolina Republican Party	Shawn Michael Hamilton	absentee-mail	10
