Table	Name	ExternalIdentifierValue
Office	Florida;Governor	Governor Juris1num  Juris2num
Office	Florida;Attorney General	Attorney General Juris1num  Juris2num
Office	Florida;Chief Financial Officer	Chief Financial Officer Juris1num  Juris2num
Office	Florida;Commissioner of Agriculture	Commissioner of Agriculture Juris1num  Juris2num
Office	Florida;General Assembly House of Representatives District 1	State Representative Juris1num 001 Juris2num 
Office	Florida;General Assembly House of Representatives District 2	State Representative Juris1num 002 Juris2num 
Office	Florida;General Assembly House of Representatives District 3	State Representative Juris1num 003 Juris2num 
Office	Florida;General Assembly House of Representatives District 4	State Representative Juris1num 004 Juris2num 
Office	Florida;General Assembly House of Representatives District 5	State Representative Juris1num 005 Juris2num 
Office	Florida;General Assembly House of Representatives District 6	State Representative Juris1num 006 Juris2num 
Office	Florida;General Assembly House of Representatives District 7	State Representative Juris1num 007 Juris2num 
Office	Florida;General Assembly House of Representatives District 8	State Representative Juris1num 008 Juris2num 
Office	Florida;General Assembly House of Representatives District 9	State Representative Juris1num 009 Juris2num 
Office	Florida;General Assembly House of Representatives District 10	State Representative Juris1num 010 Juris2num 
Office	Florida;General Assembly House of Representatives District 11	State Representative Juris1num 011 Juris2num 
Office	Florida;General Assembly House of Representatives District 12	State Representative Juris1num 012 Juris2num 
Office	Florida;General Assembly House of Representatives District 13	State Representative Juris1num 013 Juris2num 
Office	Florida;General Assembly House of Representatives District 14	State Representative Juris1num 014 Juris2num 
Office	Florida;General Assembly House of Representatives District 15	State Representative Juris1num 015 Juris2num 
Office	Florida;General Assembly House of Representatives District 16	State Representative Juris1num 016 Juris2num 
Office	Florida;General Assembly House of Representatives District 17	State Representative Juris1num 017 Juris2num 
Office	Florida;General Assembly House of Representatives District 18	State Representative Juris1num 018 Juris2num 
Office	Florida;General Assembly House of Representatives District 19	State Representative Juris1num 019 Juris2num 
Office	Florida;General Assembly House of Representatives District 20	State Representative Juris1num 020 Juris2num 
Office	Florida;General Assembly House of Representatives District 21	State Representative Juris1num 021 Juris2num 
Office	Florida;General Assembly House of Representatives District 22	State Representative Juris1num 022 Juris2num 
Office	Florida;General Assembly House of Representatives District 23	State Representative Juris1num 023 Juris2num 
Office	Florida;General Assembly House of Representatives District 24	State Representative Juris1num 024 Juris2num 
Office	Florida;General Assembly House of Representatives District 25	State Representative Juris1num 025 Juris2num 
Office	Florida;General Assembly House of Representatives District 26	State Representative Juris1num 026 Juris2num 
Office	Florida;General Assembly House of Representatives District 27	State Representative Juris1num 027 Juris2num 
