cdf_element	cdf_internal_name	raw_identifier_value
CandidateContest	Maryland;Governor / Lt. Governor	Governor / Lt. Governor
CandidateContest	Maryland;State Legislature Senate District 1	State Senator District 1
CandidateContest	Maryland;State Legislature Senate District 10	State Senator District 10
CandidateContest	Maryland;State Legislature Senate District 11	State Senator District 11
CandidateContest	Maryland;State Legislature Senate District 12	State Senator District 12
CandidateContest	Maryland;State Legislature Senate District 13	State Senator District 13
CandidateContest	Maryland;State Legislature Senate District 14	State Senator District 14
CandidateContest	Maryland;State Legislature Senate District 15	State Senator District 15
CandidateContest	Maryland;State Legislature Senate District 16	State Senator District 16
CandidateContest	Maryland;State Legislature Senate District 17	State Senator District 17
CandidateContest	Maryland;State Legislature Senate District 18	State Senator District 18
CandidateContest	Maryland;State Legislature Senate District 19	State Senator District 19
CandidateContest	Maryland;State Legislature Senate District 2	State Senator District 2
CandidateContest	Maryland;State Legislature Senate District 20	State Senator District 20
CandidateContest	Maryland;State Legislature Senate District 21	State Senator District 21
CandidateContest	Maryland;State Legislature Senate District 22	State Senator District 22
CandidateContest	Maryland;State Legislature Senate District 23	State Senator District 23
CandidateContest	Maryland;State Legislature Senate District 24	State Senator District 24
CandidateContest	Maryland;State Legislature Senate District 25	State Senator District 25
CandidateContest	Maryland;State Legislature Senate District 26	State Senator District 26
CandidateContest	Maryland;State Legislature Senate District 27	State Senator District 27
CandidateContest	Maryland;State Legislature Senate District 28	State Senator District 28
CandidateContest	Maryland;State Legislature Senate District 29	State Senator District 29
CandidateContest	Maryland;State Legislature Senate District 3	State Senator District 3
CandidateContest	Maryland;State Legislature Senate District 30	State Senator District 30
CandidateContest	Maryland;State Legislature Senate District 31	State Senator District 31
CandidateContest	Maryland;State Legislature Senate District 32	State Senator District 32
CandidateContest	Maryland;State Legislature Senate District 33	State Senator District 33
CandidateContest	Maryland;State Legislature Senate District 34	State Senator District 34
CandidateContest	Maryland;State Legislature Senate District 35	State Senator District 35
CandidateContest	Maryland;State Legislature Senate District 36	State Senator District 36
CandidateContest	Maryland;State Legislature Senate District 37	State Senator District 37
CandidateContest	Maryland;State Legislature Senate District 38	State Senator District 38
CandidateContest	Maryland;State Legislature Senate District 39	State Senator District 39
CandidateContest	Maryland;State Legislature Senate District 4	State Senator District 4
CandidateContest	Maryland;State Legislature Senate District 40	State Senator District 40
CandidateContest	Maryland;State Legislature Senate District 41	State Senator District 41
CandidateContest	Maryland;State Legislature Senate District 42	State Senator District 42
CandidateContest	Maryland;State Legislature Senate District 43	State Senator District 43
CandidateContest	Maryland;State Legislature Senate District 44	State Senator District 44
CandidateContest	Maryland;State Legislature Senate District 45	State Senator District 45
CandidateContest	Maryland;State Legislature Senate District 46	State Senator District 46
CandidateContest	Maryland;State Legislature Senate District 47	State Senator District 47
CandidateContest	Maryland;State Legislature Senate District 5	State Senator District 5
CandidateContest	Maryland;State Legislature Senate District 6	State Senator District 6
CandidateContest	Maryland;State Legislature Senate District 7	State Senator District 7
CandidateContest	Maryland;State Legislature Senate District 8	State Senator District 8
CandidateContest	Maryland;State Legislature Senate District 9	State Senator District 9
CandidateContest	Maryland;State's Attorney	State's Attorney
CandidateContest	Maryland;Treasurer	Treasurer
CandidateContest	Maryland;US Congress House of Representatives District 1	Representative in Congress District 1
CandidateContest	Maryland;US Congress House of Representatives District 2	Representative in Congress District 2
CandidateContest	Maryland;US Congress House of Representatives District 3	Representative in Congress District 3
CandidateContest	Maryland;US Congress House of Representatives District 4	Representative in Congress District 4
CandidateContest	Maryland;US Congress House of Representatives District 5	Representative in Congress District 5
CandidateContest	Maryland;US Congress House of Representatives District 6	Representative in Congress District 6
CandidateContest	Maryland;US Congress House of Representatives District 7	Representative in Congress District 7
CandidateContest	Maryland;US Congress House of Representatives District 8	Representative in Congress District 8
Election	General Election 2018-11-06	43410
CandidateContest	Maryland;Attorney General	Attorney General;
Office	Maryland;Attorney General	Attorney General;
Office	Maryland;Governor / Lt. Governor	Governor / Lt. Governor;
Office	Maryland;House of Delegates District 10	House of Delegates;10
Office	Maryland;House of Delegates District 11	House of Delegates;11
Office	Maryland;House of Delegates District 12	House of Delegates;12
Office	Maryland;House of Delegates District 13	House of Delegates;13
Office	Maryland;House of Delegates District 14	House of Delegates;14
Office	Maryland;House of Delegates District 15	House of Delegates;15
Office	Maryland;House of Delegates District 16	House of Delegates;16
Office	Maryland;House of Delegates District 17	House of Delegates;17
Office	Maryland;House of Delegates District 18	House of Delegates;18
Office	Maryland;House of Delegates District 19	House of Delegates;19
Office	Maryland;House of Delegates District 1A	House of Delegates;01A
Office	Maryland;House of Delegates District 1B	House of Delegates;01B
Office	Maryland;House of Delegates District 1C	House of Delegates;01C
Office	Maryland;House of Delegates District 20	House of Delegates;20
Office	Maryland;House of Delegates District 21	House of Delegates;21
Office	Maryland;House of Delegates District 22	House of Delegates;22
Office	Maryland;House of Delegates District 23A	House of Delegates;23A
Office	Maryland;House of Delegates District 23B	House of Delegates;23B
Office	Maryland;House of Delegates District 24	House of Delegates;24
Office	Maryland;House of Delegates District 25	House of Delegates;25
Office	Maryland;House of Delegates District 26	House of Delegates;26
