Table	Name	ExternalIdentifierType	ExternalIdentifierValue
Office	North Carolina;General Assembly House of Representatives District 1	nc_general	NC HOUSE OF REPRESENTATIVES DISTRICT 001
Office	North Carolina;General Assembly House of Representatives District 2	nc_general	NC HOUSE OF REPRESENTATIVES DISTRICT 002
Office	North Carolina;General Assembly House of Representatives District 3	nc_general	NC HOUSE OF REPRESENTATIVES DISTRICT 003
Office	North Carolina;General Assembly House of Representatives District 4	nc_general	NC HOUSE OF REPRESENTATIVES DISTRICT 004
Office	North Carolina;General Assembly House of Representatives District 5	nc_general	NC HOUSE OF REPRESENTATIVES DISTRICT 005
Office	North Carolina;General Assembly House of Representatives District 6	nc_general	NC HOUSE OF REPRESENTATIVES DISTRICT 006
Office	North Carolina;General Assembly House of Representatives District 7	nc_general	NC HOUSE OF REPRESENTATIVES DISTRICT 007
Office	North Carolina;General Assembly House of Representatives District 8	nc_general	NC HOUSE OF REPRESENTATIVES DISTRICT 008
Office	North Carolina;General Assembly House of Representatives District 9	nc_general	NC HOUSE OF REPRESENTATIVES DISTRICT 009
Office	North Carolina;General Assembly House of Representatives District 10	nc_general	NC HOUSE OF REPRESENTATIVES DISTRICT 010
Office	North Carolina;General Assembly House of Representatives District 11	nc_general	NC HOUSE OF REPRESENTATIVES DISTRICT 011
Office	North Carolina;General Assembly House of Representatives District 12	nc_general	NC HOUSE OF REPRESENTATIVES DISTRICT 012
Office	North Carolina;General Assembly House of Representatives District 13	nc_general	NC HOUSE OF REPRESENTATIVES DISTRICT 013
Office	North Carolina;General Assembly House of Representatives District 14	nc_general	NC HOUSE OF REPRESENTATIVES DISTRICT 014
Office	North Carolina;General Assembly House of Representatives District 15	nc_general	NC HOUSE OF REPRESENTATIVES DISTRICT 015
Office	North Carolina;General Assembly House of Representatives District 16	nc_general	NC HOUSE OF REPRESENTATIVES DISTRICT 016
Office	North Carolina;General Assembly House of Representatives District 17	nc_general	NC HOUSE OF REPRESENTATIVES DISTRICT 017
Office	North Carolina;General Assembly House of Representatives District 18	nc_general	NC HOUSE OF REPRESENTATIVES DISTRICT 018
Office	North Carolina;General Assembly House of Representatives District 19	nc_general	NC HOUSE OF REPRESENTATIVES DISTRICT 019
Office	North Carolina;General Assembly House of Representatives District 20	nc_general	NC HOUSE OF REPRESENTATIVES DISTRICT 020
Office	North Carolina;General Assembly House of Representatives District 21	nc_general	NC HOUSE OF REPRESENTATIVES DISTRICT 021
Office	North Carolina;General Assembly House of Representatives District 22	nc_general	NC HOUSE OF REPRESENTATIVES DISTRICT 022
Office	North Carolina;General Assembly House of Representatives District 23	nc_general	NC HOUSE OF REPRESENTATIVES DISTRICT 023
Office	North Carolina;General Assembly House of Representatives District 24	nc_general	NC HOUSE OF REPRESENTATIVES DISTRICT 024
Office	North Carolina;General Assembly House of Representatives District 25	nc_general	NC HOUSE OF REPRESENTATIVES DISTRICT 025
Office	North Carolina;General Assembly House of Representatives District 26	nc_general	NC HOUSE OF REPRESENTATIVES DISTRICT 026
Office	North Carolina;General Assembly House of Representatives District 27	nc_general	NC HOUSE OF REPRESENTATIVES DISTRICT 027
Office	North Carolina;General Assembly House of Representatives District 28	nc_general	NC HOUSE OF REPRESENTATIVES DISTRICT 028
Office	North Carolina;General Assembly House of Representatives District 29	nc_general	NC HOUSE OF REPRESENTATIVES DISTRICT 029
Office	North Carolina;General Assembly House of Representatives District 30	nc_general	NC HOUSE OF REPRESENTATIVES DISTRICT 030
Office	North Carolina;General Assembly House of Representatives District 31	nc_general	NC HOUSE OF REPRESENTATIVES DISTRICT 031
Office	North Carolina;General Assembly House of Representatives District 32	nc_general	NC HOUSE OF REPRESENTATIVES DISTRICT 032
Office	North Carolina;General Assembly House of Representatives District 33	nc_general	NC HOUSE OF REPRESENTATIVES DISTRICT 033
Office	North Carolina;General Assembly House of Representatives District 34	nc_general	NC HOUSE OF REPRESENTATIVES DISTRICT 034
Office	North Carolina;General Assembly House of Representatives District 35	nc_general	NC HOUSE OF REPRESENTATIVES DISTRICT 035
Office	North Carolina;General Assembly House of Representatives District 36	nc_general	NC HOUSE OF REPRESENTATIVES DISTRICT 036
Office	North Carolina;General Assembly House of Representatives District 37	nc_general	NC HOUSE OF REPRESENTATIVES DISTRICT 037
Office	North Carolina;General Assembly House of Representatives District 38	nc_general	NC HOUSE OF REPRESENTATIVES DISTRICT 038
Office	North Carolina;General Assembly House of Representatives District 39	nc_general	NC HOUSE OF REPRESENTATIVES DISTRICT 039
Office	North Carolina;General Assembly House of Representatives District 40	nc_general	NC HOUSE OF REPRESENTATIVES DISTRICT 040
Office	North Carolina;General Assembly House of Representatives District 41	nc_general	NC HOUSE OF REPRESENTATIVES DISTRICT 041
Office	North Carolina;General Assembly House of Representatives District 42	nc_general	NC HOUSE OF REPRESENTATIVES DISTRICT 042
Office	North Carolina;General Assembly House of Representatives District 43	nc_general	NC HOUSE OF REPRESENTATIVES DISTRICT 043
Office	North Carolina;General Assembly House of Representatives District 44	nc_general	NC HOUSE OF REPRESENTATIVES DISTRICT 044
Office	North Carolina;General Assembly House of Representatives District 45	nc_general	NC HOUSE OF REPRESENTATIVES DISTRICT 045
Office	North Carolina;General Assembly House of Representatives District 46	nc_general	NC HOUSE OF REPRESENTATIVES DISTRICT 046
Office	North Carolina;General Assembly House of Representatives District 47	nc_general	NC HOUSE OF REPRESENTATIVES DISTRICT 047
Office	North Carolina;General Assembly House of Representatives District 48	nc_general	NC HOUSE OF REPRESENTATIVES DISTRICT 048
Office	North Carolina;General Assembly House of Representatives District 49	nc_general	NC HOUSE OF REPRESENTATIVES DISTRICT 049
ReportingUnit	North Carolina;Buncombe County	nc_general	BUNCOMBE
Office	North Carolina;General Assembly House of Representatives District 50	nc_general	NC HOUSE OF REPRESENTATIVES DISTRICT 050
Office	North Carolina;General Assembly House of Representatives District 51	nc_general	NC HOUSE OF REPRESENTATIVES DISTRICT 051
