WAKE 19-21 WAKE;19-21
WAYNE 2530 WAYNE;2530
SCOTLAND 06-89 SCOTLAND;06-89
WAKE OSRB WAKE;OSRB
HAYWOOD TRANSFER HAYWOOD;TRANSFER
CUMBERLAND OS C CUMBERLAND;OS C
CRAVEN VE14 CRAVEN;VE14
BUNCOMBE ONESTOP-WVTH BUNCOMBE;ONESTOP-WVTH
HAYWOOD ONE STOP SRC HAYWOOD;ONE STOP SRC
SCOTLAND 01-16 SCOTLAND;01-16
NASH OS NASHVILLE NASH;OS NASHVILLE
ORANGE RE ORANGE;RE
CABARRUS 04-12 CABARRUS;04-12
HERTFORD OS OFFICE HERTFORD;OS OFFICE
ROBESON FAIR ROBESON;FAIR
WILKES 113A WILKES;113A
HARNETT ONE STOP WESTERN HARNETT;ONE STOP WESTERN
SAMPSON ABSENTEE SAMPSON;ABSENTEE
CABARRUS 01-11 CABARRUS;01-11
ALAMANCE PROVISIONAL ALAMANCE;PROVISIONAL
HALIFAX ONE STOP WELDON HALIFAX;ONE STOP WELDON
WAYNE 1920 WAYNE;1920
AVERY ABSENTEE AVERY;ABSENTEE
SAMPSON ONE STOP SAMPSON;ONE STOP
ORANGE OS CARRBORO ORANGE;OS CARRBORO
PITT ONE STOP COMMUNITY SCH PITT;ONE STOP COMMUNITY SCH
GUILFORD ABSENTEE GUILFORD;ABSENTEE
BUNCOMBE ONESTOP-AVML BUNCOMBE;ONESTOP-AVML
WAYNE OS LIB WAYNE;OS LIB
CALDWELL ONE STOP GFR CALDWELL;ONE STOP GFR
SURRY ONE STOP SURRY;ONE STOP
SURRY TRANSFER SURRY;TRANSFER
ORANGE OS UM ORANGE;OS UM
ROBESON REDS ROBESON;REDS
EDGECOMBE ONE STOP PINETOPS 3 EDGECOMBE;ONE STOP PINETOPS 3
GUILFORD ONE-STOP GUILFORD;ONE-STOP
POLK ONE STOP POLK;ONE STOP
WATAUGA ONE STOP FOSCOE WATAUGA;ONE STOP FOSCOE
ORANGE CF1 ORANGE;CF1
BUNCOMBE ONESTOP-BMBL BUNCOMBE;ONESTOP-BMBL
CALDWELL ABSENTEE CALDWELL;ABSENTEE
ROBESON LOB ROBESON;LOB
BLADEN BLDBORO SPAULD MON BLADEN;BLDBORO SPAULD MON
WAYNE ABSENTEE WAYNE;ABSENTEE
JOHNSTON PROVIDENCE OS JOHNSTON;PROVIDENCE OS
STANLY OS LOC STANLY;OS LOC
CUMBERLAND OS J CUMBERLAND;OS J
DUPLIN ABSENTEE DUPLIN;ABSENTEE
SURRY 29 SURRY;29
HYDE ABSENTEE HYDE;ABSENTEE
CABARRUS 04-11 CABARRUS;04-11
SURRY 31 SURRY;31
MCDOWELL ABSENTEE MCDOWELL;ABSENTEE
WATAUGA ONE STOP ADMIN WATAUGA;ONE STOP ADMIN
SURRY 30 SURRY;30
ALAMANCE ONE STOP 3 ALAMANCE;ONE STOP 3
WAKE 19-20 WAKE;19-20
NORTHAMPTON JARE NORTHAMPTON;JARE
GATES GATES RURITAN CLUB GATES;GATES RURITAN CLUB
BRUNSWICK 04B2 BRUNSWICK;04B2
DARE OS FESSENDEN ANNEX DARE;OS FESSENDEN ANNEX
JONES ABSENTEE JONES;ABSENTEE
NEW HANOVER ABSENTEE NEW HANOVER;ABSENTEE
PAMLICO ABSENTEE PAMLICO;ABSENTEE
DURHAM OS ERU DURHAM;OS ERU
HALIFAX ONE STOP SCOTLAND NECK HALIFAX;ONE STOP SCOTLAND NECK
HAYWOOD ONE STOP LIB HAYWOOD;ONE STOP LIB
CUMBERLAND OS E CUMBERLAND;OS E
HARNETT ONE STOP ERWIN HARNETT;ONE STOP ERWIN
CRAVEN TE13 CRAVEN;TE13
STANLY 0212 STANLY;0212
WAKE OSKD WAKE;OSKD
CARTERET OTBEG CARTERET;OTBEG
GASTON BOE OFFICE GASTON;BOE OFFICE
DAVIE ONE STOP DAVIE;ONE STOP
WAKE OSME WAKE;OSME
ROBESON STP ROBESON;STP
BERTIE ONE STOP POW BERTIE;ONE STOP POW
ALLEGHANY ABSENTEE ALLEGHANY;ABSENTEE
TRANSYLVANIA PROVISIONAL TRANSYLVANIA;PROVISIONAL
COLUMBUS E COLUMBUS OS COLUMBUS;E COLUMBUS OS
JACKSON OS OFF JACKSON;OS OFF
YADKIN ABSENTEE YADKIN;ABSENTEE
WAYNE OS MTO WAYNE;OS MTO
ROBESON PROVISIONAL ROBESON;PROVISIONAL
JACKSON OS GYM JACKSON;OS GYM
ORANGE UNC ORANGE;UNC
BUNCOMBE ONESTOP-NABL BUNCOMBE;ONESTOP-NABL
ORANGE WW1 ORANGE;WW1
EDGECOMBE ONE STOP ROCKY MOUNT 2 EDGECOMBE;ONE STOP ROCKY MOUNT 2
CRAVEN CLR4 CRAVEN;CLR4
GATES GATES BOE GATES;GATES BOE
CUMBERLAND OS A CUMBERLAND;OS A
NORTHAMPTON ONE STOP BOE NORTHAMPTON;ONE STOP BOE
WATAUGA ONE STOP BLOWING ROCK WATAUGA;ONE STOP BLOWING ROCK
ORANGE OS COTC ORANGE;OS COTC
LEE ABSENTEE LEE;ABSENTEE
DAVIDSON OS MIDWAY FIRE DEPT DAVIDSON;OS MIDWAY FIRE DEPT
DAVIDSON OS ARCADIA COMM BLDG DAVIDSON;OS ARCADIA COMM BLDG
WILKES ONE STOP WILKES;ONE STOP
JOHNSTON CLAYTON OS JOHNSTON;CLAYTON OS
ASHE ABSENTEE ASHE;ABSENTEE
WATAUGA ONE STOP MEAT CAMP WATAUGA;ONE STOP MEAT CAMP
BUNCOMBE ONESTOP-ECBL BUNCOMBE;ONESTOP-ECBL
GATES BLAN GROVE EMP CTR GATES;BLAN GROVE EMP CTR
DAVIDSON OS BOE DAVIDSON;OS BOE
BUNCOMBE ONESTOP-COXE BUNCOMBE;ONESTOP-COXE
MCDOWELL ONE STOP MCDOWELL;ONE STOP
HENDERSON OS FLAT ROCK HENDERSON;OS FLAT ROCK
HENDERSON OS FLETCHER HENDERSON;OS FLETCHER
GASTON LIBRARY GASTON;LIBRARY
ROBESON PEM ROBESON;PEM
ORANGE EA1 ORANGE;EA1
GASTON MOUNT HOLLY GASTON;MOUNT HOLLY
ANSON WADES ANSON;WADES
STOKES 1618 STOKES;1618
NASH OS MOUNT PLEASANT NASH;OS MOUNT PLEASANT
PITT ONE STOP WINTERVILLE PITT;ONE STOP WINTERVILLE
TRANSYLVANIA ONE STOP TRANSYLVANIA;ONE STOP
DAVIDSON OS DENTON LIBRARY DAVIDSON;OS DENTON LIBRARY
WAKE OSFV WAKE;OSFV
LENOIR ONE STOP LENOIR;ONE STOP
ROBESON TRANSFER ROBESON;TRANSFER
EDGECOMBE ONE STOP TARBORO 1 EDGECOMBE;ONE STOP TARBORO 1
DAVIE TRANSFER DAVIE;TRANSFER
SWAIN PROVISIONAL SWAIN;PROVISIONAL
MOORE ONE STOP PFD MOORE;ONE STOP PFD
PITT ABSENTEE PITT;ABSENTEE
BLADEN TRANSFER BLADEN;TRANSFER
CUMBERLAND OS B CUMBERLAND;OS B
JACKSON ABSENTEE JACKSON;ABSENTEE
EDGECOMBE ABSENTEE EDGECOMBE;ABSENTEE
POLK TRANSFER POLK;TRANSFER
FORSYTH ONE-STOP FORSYTH;ONE-STOP
GASTON DALLAS GASTON;DALLAS
ALAMANCE ONE STOP 2 ALAMANCE;ONE STOP 2
WAKE OSOP WAKE;OSOP
HALIFAX ONE STOP LITTLETON HALIFAX;ONE STOP LITTLETON
CALDWELL ONE STOP RC CALDWELL;ONE STOP RC
WATAUGA ONE STOP ASU WATAUGA;ONE STOP ASU
WAKE 17-12 WAKE;17-12
NORTHAMPTON ABSENTEE NORTHAMPTON;ABSENTEE
SCOTLAND 05-10 SCOTLAND;05-10
HENDERSON OS LOBBY HENDERSON;OS LOBBY
STOKES 1819 STOKES;1819
HENDERSON OS ETOWAH HENDERSON;OS ETOWAH
CUMBERLAND OS D CUMBERLAND;OS D
WAKE OSAV WAKE;OSAV
HAYWOOD ONE STOP CLY HAYWOOD;ONE STOP CLY
SCOTLAND 02-25 SCOTLAND;02-25
BUNCOMBE ONESTOP-FVBL BUNCOMBE;ONESTOP-FVBL
JACKSON OS CUL JACKSON;OS CUL
HALIFAX ONE STOP HALIFAX HALIFAX;ONE STOP HALIFAX
ROBESON MX ROBESON;MX
LENOIR ABSENTEE LENOIR;ABSENTEE
HARNETT ONE STOP LOBBY HARNETT;ONE STOP LOBBY
JOHNSTON ARCHER LODGE OS JOHNSTON;ARCHER LODGE OS
WAYNE OS PHL WAYNE;OS PHL
NEW HANOVER OS PVL NEW HANOVER;OS PVL
CUMBERLAND OS G CUMBERLAND;OS G
JACKSON OS WCU JACKSON;OS WCU
BERTIE ONE STOP LOB BERTIE;ONE STOP LOB
ALAMANCE ONE STOP 1 ALAMANCE;ONE STOP 1
ASHE CURBSIDE ASHE;CURBSIDE
TRANSYLVANIA TRANSFER TRANSYLVANIA;TRANSFER
CRAVEN DFB9 CRAVEN;DFB9
ORANGE HE ORANGE;HE
WAKE OSTA WAKE;OSTA
PERQUIMANS ONE STOP PERQUIMANS;ONE STOP
NASH OS ROCKY MOUNT NASH;OS ROCKY MOUNT
STOKES 0506 STOKES;0506
NORTHAMPTON GAPL NORTHAMPTON;GAPL
SURRY 32 SURRY;32
TRANSYLVANIA ABSENTEE TRANSYLVANIA;ABSENTEE
CABARRUS 12-13 CABARRUS;12-13
COLUMBUS CHADBOURN OS COLUMBUS;CHADBOURN OS
BLADEN E ARC TWN HALL BLADEN;E ARC TWN HALL
CRAVEN CFB8 CRAVEN;CFB8
STOKES ABSENTEE STOKES;ABSENTEE
BUNCOMBE ONESTOP-SBBL BUNCOMBE;ONESTOP-SBBL
SWAIN TRANSFER SWAIN;TRANSFER
PAMLICO ONE STOP PAMLICO;ONE STOP
DAVIDSON OS TLIB DAVIDSON;OS TLIB
MOORE ONE STOP AG MOORE;ONE STOP AG
WATAUGA ONE STOP DEEP GAP WATAUGA;ONE STOP DEEP GAP
PITT ONE STOP COUNTY OFFICE PITT;ONE STOP COUNTY OFFICE
COLUMBUS TABOR CITY OS COLUMBUS;TABOR CITY OS
JACKSON SDC JACKSON;SDC
PITT ONE STOP AG CENTER PITT;ONE STOP AG CENTER
NORTHAMPTON COMIPE NORTHAMPTON;COMIPE
SWAIN ABSENTEE SWAIN;ABSENTEE
JOHNSTON SMITHFIELD OS JOHNSTON;SMITHFIELD OS
WAKE 17-13 WAKE;17-13
PERQUIMANS TRANSFER PERQUIMANS;TRANSFER
JACKSON TRANSFER JACKSON;TRANSFER
CRAVEN N3N5 CRAVEN;N3N5
CABARRUS 04-13 CABARRUS;04-13
WATAUGA ONE STOP WWCC WATAUGA;ONE STOP WWCC
BUNCOMBE ONESTOP-LCBL BUNCOMBE;ONESTOP-LCBL
CUMBERLAND SL78-3 CUMBERLAND;SL78-3
DURHAM OS CJRC DURHAM;OS CJRC
JACKSON OS CAS JACKSON;OS CAS
SWAIN ONE STOP SWAIN;ONE STOP
BUNCOMBE ONESTOP-WABL BUNCOMBE;ONESTOP-WABL
DURHAM OS DTN DURHAM;OS DTN
NORTHAMPTON WOPO NORTHAMPTON;WOPO
HERTFORD OS MURFREE CENT HERTFORD;OS MURFREE CENT
PITT ONE STOP ECU PITT;ONE STOP ECU
BLADEN BLADEN BOE BLADEN;BLADEN BOE
WAKE OSCS WAKE;OSCS
ALAMANCE ABSENTEE ALAMANCE;ABSENTEE
WILKES ABSENTEE WILKES;ABSENTEE
