cdf_element	cdf_internal_name	raw_identifier_value
Election	General Election 2018-11-06	2018 November General
Party	Independent Party	Independent
Party	Republican Party	Republican
Party	Democratic Party	Democratic
Party	Libertarian Party	Libertarian
Party	Write-In	Write-In
CandidateContest	Virginia;US Congress House of Representatives District 1	Member House of Representatives;1
CandidateContest	Virginia;US Congress House of Representatives District 2	Member House of Representatives;2
CandidateContest	Virginia;US Congress House of Representatives District 3	Member House of Representatives;3
CandidateContest	Virginia;US Congress House of Representatives District 4	Member House of Representatives;4
CandidateContest	Virginia;US Congress House of Representatives District 5	Member House of Representatives;5
CandidateContest	Virginia;US Congress House of Representatives District 6	Member House of Representatives;6
CandidateContest	Virginia;US Congress House of Representatives District 7	Member House of Representatives;7
CandidateContest	Virginia;US Congress House of Representatives District 8	Member House of Representatives;8
CandidateContest	Virginia;US Congress House of Representatives District 9	Member House of Representatives;9
CandidateContest	Virginia;US Congress House of Representatives District 10	Member House of Representatives;10
CandidateContest	Virginia;US Congress House of Representatives District 11	Member House of Representatives;11
CandidateContest	Virginia;US Congress;Senate	Member United States Senate;1
CandidateContest	Virginia;US Congress;Senate	Member United States Senate;2
CandidateContest	Virginia;US Congress;Senate	Member United States Senate;3
CandidateContest	Virginia;US Congress;Senate	Member United States Senate;4
CandidateContest	Virginia;US Congress;Senate	Member United States Senate;5
CandidateContest	Virginia;US Congress;Senate	Member United States Senate;6
CandidateContest	Virginia;US Congress;Senate	Member United States Senate;7
CandidateContest	Virginia;US Congress;Senate	Member United States Senate;8
CandidateContest	Virginia;US Congress;Senate	Member United States Senate;9
CandidateContest	Virginia;US Congress;Senate	Member United States Senate;10
CandidateContest	Virginia;US Congress;Senate	Member United States Senate;11
CandidateContest	Virginia;General Assembly House of Representatives District 8	Member House of Delegates;8
Candidate	  WRITE IN VOTES 	;;WRITE IN VOTES;
Candidate	BARRY CHANCE FREY 	BARRY;CHANCE;FREY;
Candidate	BILLYE DUNCAN CUSTIS 	BILLYE;DUNCAN;CUSTIS;
Candidate	BRIAN BENJAMIN LANGLEY 	BRIAN;BENJAMIN;LANGLEY;
Candidate	CHARLES RICHARD WILBUR 	CHARLES;RICHARD;WILBUR;
Candidate	CHRISTOPHER FRANK KREISL 	CHRISTOPHER;FRANK;KREISL;
Candidate	CLAUDIA CARPENTER HARMON 	CLAUDIA;CARPENTER;HARMON;
Candidate	CONNIE WIDGEON CAMPBELL 	CONNIE;WIDGEON;CAMPBELL;
Candidate	COREY ALAN STEWART 	COREY;ALAN;STEWART;
Candidate	DAVID ALAN PEFFER 	DAVID;ALAN;PEFFER;
Candidate	DEBORAH TAYLOR MIDGETT 	DEBORAH;TAYLOR;MIDGETT;
Candidate	ELAINE GOODMAN LURIA 	ELAINE;GOODMAN;LURIA;
Candidate	ERIC TALMADGE HARRIS 	ERIC;TALMADGE;HARRIS;
Candidate	GREGORY JAMES SPADY 	GREGORY;JAMES;SPADY;
Candidate	HENRY EDWARD FINNEY 	HENRY;EDWARD;FINNEY;
Candidate	JAMES DEAN BROWN 	JAMES;DEAN;BROWN;
Candidate	JAMES NATHANIEL STURGIS 	JAMES;NATHANIEL;STURGIS;
Candidate	JAMES ROBERT WILSON 	JAMES;ROBERT;WILSON;
Candidate	JASON EARL BYELICH 	JASON;EARL;BYELICH;
Candidate	JENNY KAYE KREISL 	JENNY;KAYE;KREISL;
Candidate	JERRY DEAN SAVAGE 	JERRY;DEAN;SAVAGE;
Candidate	JOHN LEWIS DENNIS Sr.	JOHN;LEWIS;DENNIS;Sr.
Candidate	KIM RANDALL SAVAGE 	KIM;RANDALL;SAVAGE;
Candidate	LOUELLA H FOX 	LOUELLA;H;FOX;
Candidate	MATTHEW DOUGLAS HART 	MATTHEW;DOUGLAS;HART;
Candidate	MATTHEW JOSEPH WATERS 	MATTHEW;JOSEPH;WATERS;
Candidate	MELVIN THOMAS BLISS Jr.	MELVIN;THOMAS;BLISS;Jr.
Candidate	Michael Parker Barnes Jr.	Michael;Parker;Barnes;Jr.
Candidate	RICHARD SCOTT CALLANDER 	RICHARD;SCOTT;CALLANDER;
Candidate	ROSE MARY PIERSON 	ROSE;MARY;PIERSON;
Candidate	SAMUEL HENRY BLOXOM Jr.	SAMUEL;HENRY;BLOXOM;Jr.
Candidate	SCOTT WILLIAM TAYLOR 	SCOTT;WILLIAM;TAYLOR;
Candidate	STEPHEN JOSEPH HEARNE 	STEPHEN;JOSEPH;HEARNE;
Candidate	SUSAN MARY RILLO 	SUSAN;MARY;RILLO;
Candidate	THEODORE Foster CATHEY  Jr.	THEODORE;Foster;CATHEY ;Jr.
Candidate	THOMAS LEE WILLETT 	THOMAS;LEE;WILLETT;
Candidate	TIMOTHY MICHAEL KAINE 	TIMOTHY;MICHAEL;KAINE;
Candidate	WILLIAM ROBERT FERGUSON 	WILLIAM;ROBERT;FERGUSON;
Candidate	WOODY WRAY ZEMBER 	WOODY;WRAY;ZEMBER;
Candidate	THOMAS WAYNE BEASLEY 	THOMAS;WAYNE;BEASLEY;
Candidate	JESSICA TAYLOR HARGIS 	JESSICA;TAYLOR;HARGIS;
Candidate	DENVER LEE RIGGLEMAN III	DENVER;LEE;RIGGLEMAN;III
Candidate	LESLIE CORKILL COCKBURN 	LESLIE;CORKILL;COCKBURN;
Candidate	ANTHONY JUDE FLACCAVENTO 	ANTHONY;JUDE;FLACCAVENTO;
Candidate	CARL DAVID BRINKLEY 	CARL;DAVID;BRINKLEY;
Candidate	CHARLES WILLIAM UNROE 	CHARLES;WILLIAM;UNROE;
Candidate	DONALD MILLER HALL 	DONALD;MILLER;HALL;
Candidate	HOWARD MORGAN GRIFFITH 	HOWARD;MORGAN;GRIFFITH;
Candidate	JASON MICHAEL CORDOVA 	JASON;MICHAEL;CORDOVA;
Candidate	KAWAHNA CLARK PERSINGER 	KAWAHNA;CLARK;PERSINGER;
Candidate	PAMELA ELAINE MARSHALL 	PAMELA;ELAINE;MARSHALL;
Candidate	RICHARD BROWN ERSKINE 	RICHARD;BROWN;ERSKINE;
Candidate	ROBERT JAMES UMSTEAD 	ROBERT;JAMES;UMSTEAD;
Candidate	RONALD STEVEN GOINGS 	RONALD;STEVEN;GOINGS;
Candidate	ABIGAIL ANNE DAVIS SPANBERGER 	ABIGAIL;ANNE DAVIS;SPANBERGER;
Candidate	DAVID A BRAT 	DAVID;A;BRAT;
Candidate	JOSEPH BUCKLER WALTON 	JOSEPH;BUCKLER;WALTON;
Candidate	BENJAMIN LEE CLINE 	BENJAMIN;LEE;CLINE;
Candidate	DARRYL DWAYNE TUGGLE 	DARRYL;DWAYNE;TUGGLE;
Candidate	JANICE N WHEATON 	JANICE;N;WHEATON;
Candidate	JENNIFER LYNN LEWIS 	JENNIFER;LYNN;LEWIS;
Candidate	KENNETH GORDON BUNCH 	KENNETH;GORDON;BUNCH;
Candidate	KENNETH SEAY WATTS 	KENNETH;SEAY;WATTS;
Candidate	RACHEL ANN CARTON 	RACHEL;ANN;CARTON;
Candidate	SARAH BEAZLEY OGDEN 	SARAH;BEAZLEY;OGDEN;
Candidate	AUDREY ROSE CLEMENT 	AUDREY;ROSE;CLEMENT;
Candidate	BARBARA JOAN KANNINEN 	BARBARA;JOAN;KANNINEN;
Candidate	DONALD STERNOFF BEYER Jr.	DONALD;STERNOFF;BEYER;Jr.
Candidate	JOHN E VIHSTADT 	JOHN;E;VIHSTADT;
Candidate	MATTHEW DAVID DE FERRANTI 	MATTHEW;DAVID;DE FERRANTI;
