Jurisdiction	Election	Contest	ReportingUnit	VoteType	Count	Status	Source	Note
Arkansas	2018 General	AR Governor	Arkansas	total	891509	official-final		
Arkansas	2018 General	US House AR District 3	Arkansas	total	229708	official-final		
Arkansas	2018 General	AR House District 12	Arkansas	total	6693	official-final		
Arkansas	2018 General	AR Senate District 14	Arkansas	total	31449	official-final		
Arkansas	2018 General	AR Governor	Arkansas	early	442612	official-final		
Arkansas	2018 General	AR Governor	Arkansas;Clark County	total	6731	official-final		
Arkansas	2020 General	US President (AR)	Arkansas	total	1219069	official-final		
Arkansas	2020 General	US House AR District 4	Arkansas	total	275035	official-final		
Arkansas	2020 General	AR House District 2	Arkansas	total	11309	official-final		
Arkansas	2020 General	AR Senate District 1	Arkansas	total	56633	official-final		
Arkansas	2020 General	US President (AR)	Arkansas	early	819871	official-final		
Arkansas	2020 General	US President (AR)	Arkansas;Baxter County	total	21007	official-final		
Arkansas	2020 Democratic Primary	US President (AR)	Arkansas	total	229120	official-final		
Arkansas	2020 Democratic Primary	AR House District 34	Arkansas	total	3709	official-final		
Arkansas	2020 Republican Primary	AR Senate District 13	Arkansas	total	10134	official-final		
Arkansas	2020 Republican Primary	US President (AR)	Arkansas	absentee	9108	official-final		
Arkansas	2020 Democratic Primary	US President (AR)	Arkansas;Clay County	total	660	official-final		
Arkansas	2000 General	US President (AR)	Arkansas	total	921781	official-final	https://doi.org/10.7910/DVN/VOQCHQ	
Arkansas	2004 General	US President (AR)	Arkansas	total	1053694	official-final	https://doi.org/10.7910/DVN/VOQCHQ	
Arkansas	2008 General	US President (AR)	Arkansas	total	1086617	official-final	https://doi.org/10.7910/DVN/VOQCHQ	
Arkansas	2012 General	US President (AR)	Arkansas	total	1069468	official-final	https://doi.org/10.7910/DVN/VOQCHQ	
Arkansas	2016 General	US President (AR)	Arkansas	total	1129896	official-final	https://doi.org/10.7910/DVN/VOQCHQ	
