Jurisdiction	Election	Contest	ReportingUnit	VoteType	Count	Status	Source	Note
Colorado	2016 General	US President (CO)	Colorado	total	2780247	official-final		
Colorado	2016 General	US Senate CO	Colorado	total	2743029	official-final		
Colorado	2016 General	CO Senate District 14	Colorado	total	85788	official-final		
Colorado	2016 General	CO House District 60	Colorado	total	41303	official-final		
Colorado	2018 General	CO Attorney General	Colorado	total	2491954	official-final		
Colorado	2018 General	CO Senate District 15	Colorado	total	83690	official-final		
Colorado	2018 General	CO House District 60	Colorado	total	39237	official-final		
Colorado	2020 General	US President (CO)	Colorado	total	3256952	official-final		
Colorado	2020 General	US House CO District 3	Colorado	total	429319	official-final		
Colorado	2020 General	CO Senate District 17	Colorado	total	96074	official-final		
Colorado	2020 General	CO House District 1	Colorado	total	34032	official-final		
Colorado	2020 General	US President (CO)	Colorado;Boulder County	total	206111	official-final		
Colorado	2020 Democratic Primary	US President (CO)	Colorado	total	960128	official-final		
Colorado	2020 Republican Primary	US Senate CO	Colorado	total	554806	official-final		
Colorado	2020 Republican Primary	CO Senate District 21	Colorado	total	6320	official-final		
Colorado	2020 Democratic Primary	CO House District 20	Colorado	total	10011	official-final		
Colorado	2000 General	US President (CO)	Colorado	total	1741365	official-final	https://doi.org/10.7910/DVN/VOQCHQ	
Colorado	2004 General	US President (CO)	Colorado	total	2129630	official-final	https://doi.org/10.7910/DVN/VOQCHQ	
Colorado	2008 General	US President (CO)	Colorado	total	2401361	official-final	https://doi.org/10.7910/DVN/VOQCHQ	
Colorado	2012 General	US President (CO)	Colorado	total	2569217	official-final	https://doi.org/10.7910/DVN/VOQCHQ	
