Jurisdiction	Election	Contest	ReportingUnit	VoteType	Count	Status	Source	Note
Delaware	2020 General	US President (DE)	Delaware	total	504010	official-final		
Delaware	2020 General	US House DE District 1	Delaware	total	488270	official-final		
Delaware	2020 General	US President (DE)	Delaware;Kent County	total	87025	official-final		
Delaware	2020 Democratic Primary	US President (DE)	Delaware	total	91682	official-final		
Delaware	2020 Republican Primary	DE Governor	Delaware	total	55447	official-final		
Delaware	2020 Republican Primary	DE Senate District 14	Delaware	total	2649	official-final		
Delaware	2020 Democratic Primary	DE House District 26	Delaware	total	2990	official-final		
Delaware	2000 General	US President (DE)	Delaware	total	327529	official-final	https://doi.org/10.7910/DVN/VOQCHQ	
Delaware	2004 General	US President (DE)	Delaware	total	375170	official-final	https://doi.org/10.7910/DVN/VOQCHQ	
Delaware	2008 General	US President (DE)	Delaware	total	412412	official-final	https://doi.org/10.7910/DVN/VOQCHQ	
Delaware	2012 General	US President (DE)	Delaware	total	413937	official-final	https://doi.org/10.7910/DVN/VOQCHQ	
Delaware	2016 General	US President (DE)	Delaware	total	442997	official-final	https://doi.org/10.7910/DVN/VOQCHQ	
