Jurisdiction	Election	Contest	ReportingUnit	VoteType	Count	Status	Source	Note
Hawaii	2020 General	US President (HI)	Hawaii	total	574469	official-final		
Hawaii	2020 General	US House HI District 2	Hawaii	total	272102	official-final		
Hawaii	2020 General	HI Senate District 25	Hawaii	total	27300	official-final		
Hawaii	2020 General	HI House District 13	Hawaii	total	11301	official-final		
Hawaii	2020 General	US President (HI)	Hawaii;Hawaii County	total	87814	official-final		
Hawaii	2020 General	US President (HI)	Hawaii	early	28610	official-final		
Hawaii	2000 General	US President (HI)	Hawaii	total	367871	official-final	https://doi.org/10.7910/DVN/VOQCHQ	
Hawaii	2004 General	US President (HI)	Hawaii	total	428555	official-final	https://doi.org/10.7910/DVN/VOQCHQ	
Hawaii	2008 General	US President (HI)	Hawaii	total	452742	official-final	https://doi.org/10.7910/DVN/VOQCHQ	
Hawaii	2012 General	US President (HI)	Hawaii	total	434221	official-final	https://doi.org/10.7910/DVN/VOQCHQ	
Hawaii	2016 General	US President (HI)	Hawaii	total	428937	official-final	https://doi.org/10.7910/DVN/VOQCHQ	
