Jurisdiction	Election	Contest	ReportingUnit	VoteType	Count	Status	Source	Note
Illinois	2016 General	US President (IL)	Illinois	total	5536424	official-final		
Illinois	2016 General	IL Comptroller	Illinois	total	5412543	official-final		
Illinois	2016 General	IL Senate District 14	Illinois	total	79949	official-final		
Illinois	2016 General	IL House District 13	Illinois	total	40831	official-final		
Illinois	2018 General	IL Governor	Illinois	total	4547657	official-final		
Illinois	2018 General	IL Senate District 14	Illinois	total	65275	official-final		
Illinois	2018 General	IL House District 10	Illinois	total	31649	official-final		
Illinois	2020 General	US President (IL)	Illinois	total	6033744	official-final		
Illinois	2020 General	US House IL District 1	Illinois	total	325123	official-final		
Illinois	2020 General	IL Senate District 7	Illinois	total	90009	official-final		
Illinois	2020 General	IL House District 1	Illinois	total	21204	official-final		
Illinois	2020 General	US President (IL)	Illinois;Adams County	total	33527	official-final		
Illinois	2020 Democratic Primary	US President (IL)	Illinois	total	1674133	official-final		
Illinois	2020 Democratic Primary	US Senate IL	Illinois	total	1446118	official-final		
Illinois	2020 Republican Primary	IL Senate District 31	Illinois	total	7219	official-final		
Illinois	2020 Republican Primary	IL House District 20	Illinois	total	9319	official-final		
Illinois	2000 General	US President (IL)	Illinois	total	4742123	official-final	https://doi.org/10.7910/DVN/VOQCHQ	
Illinois	2004 General	US President (IL)	Illinois	total	5275415	official-final	https://doi.org/10.7910/DVN/VOQCHQ	
Illinois	2008 General	US President (IL)	Illinois	total	5523051	official-final	https://doi.org/10.7910/DVN/VOQCHQ	
Illinois	2012 General	US President (IL)	Illinois	total	5241891	official-final	https://doi.org/10.7910/DVN/VOQCHQ	
