Jurisdiction	Election	Contest	ReportingUnit	VoteType	Count	Status	Source	Note
Iowa	2018 General	IA Governor	Iowa	total	1327638	official-final		
Iowa	2018 General	IA Senate District 13	Iowa	total	30787	official-final		
Iowa	2018 General	IA House District 14	Iowa	total	8551	official-final		
Iowa	2020 General	US President (IA)	Iowa	total	1690871	official-final		
Iowa	2020 General	US House IA District 1	Iowa	total	413869	official-final		
Iowa	2020 General	IA Senate District 2	Iowa	total	26573	official-final		
Iowa	2020 General	IA House District 1	Iowa	total	15579	official-final		
Iowa	2020 General	US President (IA)	Iowa;Adams County	total	2160	official-final		
Iowa	2020 General	US President (IA)	Iowa	absentee	994691	official-final		
Iowa	2020 Republican Primary	US Senate IA	Iowa	total	229721	official-final		
Iowa	2020 Republican Primary	IA Senate District 2	Iowa	total	11583	official-final		
Iowa	2020 Democratic Primary	IA House District 8	Iowa	total	1382	official-final		
Iowa	2000 General		Iowa	total	1315563	official-final	https://doi.org/10.7910/DVN/VOQCHQ	
Iowa	2004 General		Iowa	total	1506908	official-final	https://doi.org/10.7910/DVN/VOQCHQ	
Iowa	2008 General		Iowa	total	1536820	official-final	https://doi.org/10.7910/DVN/VOQCHQ	
Iowa	2012 General		Iowa	total	1582180	official-final	https://doi.org/10.7910/DVN/VOQCHQ	
Iowa	2016 General		Iowa	total	1566031	official-final	https://doi.org/10.7910/DVN/VOQCHQ	
