Jurisdiction	Election	Contest	ReportingUnit	VoteType	Count	Status	Source	Note
Maine	2020 General	US President (ME)	Maine	total	819461	official-final		
Maine	2020 General	US House ME District 1	Maine	total	436027	official-final		
Maine	2020 General	ME Senate District 1	Maine	total	18996	official-final		
Maine	2020 General	ME House District 2	Maine	total	6470	official-final		
Maine	2020 General	US President (ME)	Maine;Androscoggin County	total	58707	official-final		
Maine	2000 General	US President (ME)	Maine	total	651817	official-final	https://doi.org/10.7910/DVN/VOQCHQ	
Maine	2004 General	US President (ME)	Maine	total	686510	official-final	https://doi.org/10.7910/DVN/VOQCHQ	
Maine	2008 General	US President (ME)	Maine	total	731163	official-final	https://doi.org/10.7910/DVN/VOQCHQ	
Maine	2012 General	US President (ME)	Maine	total	713180	official-final	https://doi.org/10.7910/DVN/VOQCHQ	
Maine	2016 General	US President (ME)	Maine	total	747927	official-final	https://doi.org/10.7910/DVN/VOQCHQ	
