Jurisdiction	Election	Contest	ReportingUnit	VoteType	Count	Status	Source	Note
Maricopa County	2016 General	US President (AZ) (Maricopa County)	Maricopa County	total	1567834	official-final		
Maricopa County	2016 General	US Senate AZ (Maricopa County)	Maricopa County	total	1534633	official-final		
Maricopa County	2016 General	AZ Senate District 13 (Maricopa County)	Maricopa County	total	44317	official-final		
Maricopa County	2016 General	AZ House District 30 (Maricopa County)	Maricopa County	total	60755	official-final		
Maricopa County	2016 General	US House AZ District 6 (Maricopa County)	Maricopa County	total	325126	official-final		
Maricopa County	2018 General	AZ Secretary of State (Maricopa County)	Maricopa County	total	1407445	official-final		
Maricopa County	2018 General	AZ Senate District 13 (Maricopa County)	Maricopa County	total	56975	official-final		
Maricopa County	2018 General	AZ House District 25 (Maricopa County)	Maricopa County	total	130966	official-final		
Maricopa County	2018 General	US House AZ District 9 (Maricopa County)	Maricopa County	total	261559	official-final		
Maricopa County	2020 Democratic Primary	US President (AZ) (Maricopa County)	Maricopa County	total	357375	official-final		
Maricopa County	2020 Republican Primary	US Senate AZ (Maricopa County)	Maricopa County	total	439933	official-final		
Maricopa County	2020 Libertarian Primary	AZ Senate District 13 (Maricopa County)	Maricopa County	total	37	official-final		
Maricopa County	2020 Republican Primary	AZ House District 30 (Maricopa County)	Maricopa County	total	1306	official-final		
Maricopa County	2020 Democratic Primary	US House AZ District 6 (Maricopa County)	Maricopa County	total	80286	official-final		
