Jurisdiction	Election	Contest	ReportingUnit	VoteType	Count	Status	Source	Note
Missouri	2020 General	US President (MO)	Missouri	total	3025962	official-final		
Missouri	2020 General	US House MO District 1	Missouri	total	316171	official-final		
Missouri	2020 General	MO Senate District 15	Missouri	total	113304	official-final		
Missouri	2020 General	MO House District 1	Missouri	total	14724	official-final		
Missouri	2020 General	US President (MO)	Missouri;Cape Girardeau County	total	40328	official-final		
Missouri	2000 General	US President (MO)	Missouri	total	2359892	official-final	https://doi.org/10.7910/DVN/VOQCHQ	
Missouri	2004 General	US President (MO)	Missouri	total	2731364	official-final	https://doi.org/10.7910/DVN/VOQCHQ	
Missouri	2008 General	US President (MO)	Missouri	total	2925205	official-final	https://doi.org/10.7910/DVN/VOQCHQ	
Missouri	2012 General	US President (MO)	Missouri	total	2757312	official-final	https://doi.org/10.7910/DVN/VOQCHQ	
Missouri	2016 General	US President (MO)	Missouri	total	2807381	official-final	https://doi.org/10.7910/DVN/VOQCHQ	
