Jurisdiction	Election	Contest	ReportingUnit	VoteType	Count	Status	Source	Note
Nevada	2020 General	US President (NV)	Nevada	total	1404911	official-final		
Nevada	2020 General	US House NV District 1	Nevada	total	223202	official-final		
Nevada	2020 General	NV Senate District 11	Nevada	total	52060	official-final		
Nevada	2020 General	NV House District 17	Nevada	total	32536	official-final		
Nevada	2020 General	US President (NV)	Nevada;Esmeralda County	total	480	official-final		
Nevada	2000 General	US President (NV)	Nevada	total	608970	official-final	https://doi.org/10.7910/DVN/VOQCHQ	
Nevada	2004 General	US President (NV)	Nevada	total	829587	official-final	https://doi.org/10.7910/DVN/VOQCHQ	
Nevada	2008 General	US President (NV)	Nevada	total	967848	official-final	https://doi.org/10.7910/DVN/VOQCHQ	
Nevada	2012 General	US President (NV)	Nevada	total	1014918	official-final	https://doi.org/10.7910/DVN/VOQCHQ	
Nevada	2016 General	US President (NV)	Nevada	total	1125385	official-final	https://doi.org/10.7910/DVN/VOQCHQ	
