Jurisdiction	Election	Contest	ReportingUnit	VoteType	Count	Status	Source	Note
New Jersey	2020 General	US President (NJ)	New Jersey	total	4549353	official-final		
New Jersey	2020 General	US House NJ District 1	New Jersey	total	385030	official-final		
New Jersey	2020 General	NJ Senate District 25	New Jersey	total	124334	official-final		
New Jersey	2020 General	NJ House District 1	New Jersey	total	122915	official-final		
New Jersey	2020 General	US President (NJ)	New Jersey;Atlantic County	total	140031	official-final		
New Jersey	2000 General	US President (NJ)	New Jersey	total	3187226	official-final	https://doi.org/10.7910/DVN/VOQCHQ	
New Jersey	2004 General	US President (NJ)	New Jersey	total	3609691	official-final	https://doi.org/10.7910/DVN/VOQCHQ	
New Jersey	2008 General	US President (NJ)	New Jersey	total	3838498	official-final	https://doi.org/10.7910/DVN/VOQCHQ	
New Jersey	2012 General	US President (NJ)	New Jersey	total	3640292	official-final	https://doi.org/10.7910/DVN/VOQCHQ	
New Jersey	2016 General	US President (NJ)	New Jersey	total	3874046	official-final	https://doi.org/10.7910/DVN/VOQCHQ	
