Jurisdiction	Election	Contest	ReportingUnit	VoteType	Count	Status	Source	Note
New York	2020 General	US President (NY)	New York	total	8594826	official-final		
New York	2020 General	US House NY District 1	New York	total	357247	official-final		
New York	2020 General	NY Senate District 1	New York	total	168240	official-final		
New York	2020 General	NY House District 1	New York	total	67083	official-final		
New York	2020 General	US President (NY)	New York;Albany County	total	153586	official-final		
New York	2000 General	US President (NY)	New York	total	6821999	official-final	https://doi.org/10.7910/DVN/VOQCHQ	
New York	2004 General	US President (NY)	New York	total	7391036	official-final	https://doi.org/10.7910/DVN/VOQCHQ	
New York	2008 General	US President (NY)	New York	total	7591233	official-final	https://doi.org/10.7910/DVN/VOQCHQ	
New York	2012 General	US President (NY)	New York	total	7061925	official-final	https://doi.org/10.7910/DVN/VOQCHQ	
New York	2016 General	US President (NY)	New York	total	7707363	official-final	https://doi.org/10.7910/DVN/VOQCHQ	
