Jurisdiction	Election	Contest	ReportingUnit	VoteType	Count	Status	Source	Note
Oklahoma	2020 General	US President (OK)	Oklahoma	total	1560699	official-final		
Oklahoma	2020 General	US House OK District 4	Oklahoma	total	314358	official-final		
Oklahoma	2020 General	OK Senate District 17	Oklahoma	total	33214	official-final		
Oklahoma	2020 General	OK House District 56	Oklahoma	total	12950	official-final		
Oklahoma	2020 General	US President (OK)	Oklahoma;Choctaw County	total	5832	official-final		
Oklahoma	2020 General	US President (OK)	Oklahoma	absentee-mail	280885	official-final		
Oklahoma	2000 General	US President (OK)	Oklahoma	total	1234229	official-final	https://doi.org/10.7910/DVN/VOQCHQ	
Oklahoma	2004 General	US President (OK)	Oklahoma	total	1463758	official-final	https://doi.org/10.7910/DVN/VOQCHQ	
Oklahoma	2008 General	US President (OK)	Oklahoma	total	1462661	official-final	https://doi.org/10.7910/DVN/VOQCHQ	
Oklahoma	2012 General	US President (OK)	Oklahoma	total	1334872	official-final	https://doi.org/10.7910/DVN/VOQCHQ	
Oklahoma	2016 General	US President (OK)	Oklahoma	total	1452992	official-final	https://doi.org/10.7910/DVN/VOQCHQ	
