Jurisdiction	Election	Contest	ReportingUnit	VoteType	Count	Status	Source	Note
Pennsylvania	2016 General	US President (PA)	Pennsylvania	total	6115402	official-final		
Pennsylvania	2016 General	PA Auditor General	Pennsylvania	total	5916931	official-final		
Pennsylvania	2016 General	PA Senate District 41	Pennsylvania	total	112283	official-final		
Pennsylvania	2016 General	PA House District 21	Pennsylvania	total	26453	official-final		
Pennsylvania	2018 General	PA Governor	Pennsylvania	total	5012555	official-final		
Pennsylvania	2018 General	PA Senate District 20	Pennsylvania	total	81817	official-final		
Pennsylvania	2018 General	PA House District 103	Pennsylvania	total	18363	official-final		
Pennsylvania	2020 General	US President (PA)	Pennsylvania	total	6915220	official-final		
Pennsylvania	2020 General	US House PA District 16	Pennsylvania	total	354050	official-final		
Pennsylvania	2020 General	PA Senate District 47	Pennsylvania	total	133014	official-final		
Pennsylvania	2020 General	PA House District 15	Pennsylvania	total	34660	official-final		
Pennsylvania	2020 General	US President (PA)	Pennsylvania	provisional	105319	official-final		
Pennsylvania	2020 General	US President (PA)	Pennsylvania;Snyder County	total	19140	official-final		
Pennsylvania	2020 Democratic Primary	US President (PA)	Pennsylvania	total	1595508	official-final		
Pennsylvania	2020 Republican Primary	PA Auditor General	Pennsylvania	total	1042092	official-final		
Pennsylvania	2020 Democratic Primary	PA Senate District 21	Pennsylvania	total	18435	official-final		
Pennsylvania	2020 Republican Primary	PA House District 100	Pennsylvania	total	6327	official-final		
Pennsylvania	2000 General	US President (PA)	Pennsylvania	total	4912185	official-final	https://doi.org/10.7910/DVN/VOQCHQ	
Pennsylvania	2004 General	US President (PA)	Pennsylvania	total	5765764	official-final	https://doi.org/10.7910/DVN/VOQCHQ	
Pennsylvania	2008 General	US President (PA)	Pennsylvania	total	5977981	official-final	https://doi.org/10.7910/DVN/VOQCHQ	
Pennsylvania	2012 General	US President (PA)	Pennsylvania	total	5742040	official-final	https://doi.org/10.7910/DVN/VOQCHQ	
