Jurisdiction	Election	Contest	ReportingUnit	VoteType	Count	Status	Source	Note
Rhode Island	2020 General	US President (RI)	Rhode Island	total	517757	official-final		
Rhode Island	2020 General	US House RI District 2	Rhode Island	total	264557	official-final		
Rhode Island	2020 General	RI Senate District 15	Rhode Island	total	8078	official-final		
Rhode Island	2020 General	RI House District 1	Rhode Island	total	4058	official-final		
Rhode Island	2020 General	US President (RI)	Rhode Island;East Providence	total	23153	official-final		
Rhode Island	2020 General	US President (RI)	Rhode Island	absentee-mail	168795	official-final		
Rhode Island	2000 General	US President (RI)	Rhode Island	total	409112	official-final	https://doi.org/10.7910/DVN/VOQCHQ	
Rhode Island	2004 General	US President (RI)	Rhode Island	total	436289	official-final	https://doi.org/10.7910/DVN/VOQCHQ	
Rhode Island	2008 General	US President (RI)	Rhode Island	total	471766	official-final	https://doi.org/10.7910/DVN/VOQCHQ	
Rhode Island	2012 General	US President (RI)	Rhode Island	total	445719	official-final	https://doi.org/10.7910/DVN/VOQCHQ	
Rhode Island	2016 General	US President (RI)	Rhode Island	total	464144	official-final	https://doi.org/10.7910/DVN/VOQCHQ	
