Jurisdiction	Election	Contest	ReportingUnit	VoteType	Count	Status	Source	Note
South Dakota	2020 General	US President (SD)	South Dakota	total	422609	official-final		
South Dakota	2020 General	US House SD District 1	South Dakota	total	397732	official-final		
South Dakota	2020 General	SD Senate District 2	South Dakota	total	8154	official-final		
South Dakota	2020 General	SD House District 3	South Dakota	total	20758	official-final		
South Dakota	2020 General	US President (SD)	South Dakota;Butte County	total	4802	official-final		
South Dakota	2000 General	US President (SD)	South Dakota	total	316269	official-final	https://doi.org/10.7910/DVN/VOQCHQ	
South Dakota	2004 General	US President (SD)	South Dakota	total	388215	official-final	https://doi.org/10.7910/DVN/VOQCHQ	
South Dakota	2008 General	US President (SD)	South Dakota	total	377708	official-final	https://doi.org/10.7910/DVN/VOQCHQ	
South Dakota	2012 General	US President (SD)	South Dakota	total	363815	official-final	https://doi.org/10.7910/DVN/VOQCHQ	
South Dakota	2016 General	US President (SD)	South Dakota	total	370093	official-final	https://doi.org/10.7910/DVN/VOQCHQ	
