Jurisdiction	Election	Contest	ReportingUnit	VoteType	Count	Status	Source	Note
Tennessee	2020 General	US President (TN)	Tennessee	total	3053851	official-final		
Tennessee	2020 General	US House TN District 9	Tennessee	total	242880	official-final		
Tennessee	2020 General	TN Senate District 2	Tennessee	total	81448	official-final		
Tennessee	2020 General	TN House District 2	Tennessee	total	30230	official-final		
Tennessee	2020 General	US President (TN)	Tennessee;Anderson County	total	35570	official-final		
Tennessee	2000 General	US President (TN)	Tennessee	total	2076181	official-final	https://doi.org/10.7910/DVN/VOQCHQ	
Tennessee	2004 General	US President (TN)	Tennessee	total	2430494	official-final	https://doi.org/10.7910/DVN/VOQCHQ	
Tennessee	2008 General	US President (TN)	Tennessee	total	2600124	official-final	https://doi.org/10.7910/DVN/VOQCHQ	
Tennessee	2012 General	US President (TN)	Tennessee	total	2458577	official-final	https://doi.org/10.7910/DVN/VOQCHQ	
Tennessee	2016 General	US President (TN)	Tennessee	total	2508027	official-final	https://doi.org/10.7910/DVN/VOQCHQ	
