Jurisdiction	Election	Contest	ReportingUnit	VoteType	Count	Status	Source	Note
Texas	2016 General	US President (TX)	Texas	total	8969226	official-final		
Texas	2016 General	Railroad Commissioner	Texas	total	8760238	official-final		
Texas	2016 General	US House TX District 10	Texas	total	312600	official-final		
Texas	2016 General	TX Senate District 11	Texas	total	218201	official-final		
Texas	2016 General	TX House District 115	Texas	total	58926	official-final		
Texas	2018 General	US Senate TX	Texas	total	8371655	official-final		
Texas	2018 General	TX Governor	Texas	total	8343443	official-final		
Texas	2018 General	TX Senate District 15	Texas	total	234763	official-final		
Texas	2018 General	TX House District 25	Texas	total	40902	official-final		
Texas	2020 General	US President (TX)	Texas	total	11315056	official-final		
Texas	2020 General	US House TX District 2	Texas	total	346726	official-final		
Texas	2020 General	TX Senate District 6	Texas	total	164061	official-final		
Texas	2020 General	TX House District 3	Texas	total	91010	official-final		
Texas	2020 General	US President (TX)	Texas;Maverick County	total	15346	official-final		
Texas	2020 Republican Primary	US President (TX)	Texas	total	2017167	official-final		
Texas	2020 Democratic Primary	US President (TX)	Texas;Montgomery County	total	25612	official-final		
Texas	2020 Democratic Primary	US President (TX)	Texas	total	2094428	official-final		
Texas	2020 Republican Primary	US House TX District 3	Texas	total	53938	official-final		
Texas	2020 Republican Primary	TX Senate District 13	Texas	total	8247	official-final		
Texas	2020 Democratic Primary	TX House District 101	Texas	total	10924	official-final		
Texas	2000 General	US President (TX)	Texas	total	6407637	official-final	https://doi.org/10.7910/DVN/VOQCHQ	
Texas	2004 General	US President (TX)	Texas	total	7410749	official-final	https://doi.org/10.7910/DVN/VOQCHQ	
Texas	2008 General	US President (TX)	Texas	total	8077795	official-final	https://doi.org/10.7910/DVN/VOQCHQ	
Texas	2012 General	US President (TX)	Texas	total	7993851	official-final	https://doi.org/10.7910/DVN/VOQCHQ	
