Jurisdiction	Election	Contest	ReportingUnit	VoteType	Count	Status	Source	Note
Virginia	2021 Democratic Primary	VA Governor	Virginia	total	494932	official-final		
Virginia	2021 Democratic Primary	VA House District 66	Virginia	total	4758	official-final		
Virginia	2021 Democratic Primary	VA Governor	Virginia;Fairfax County	total	83675	official-final		
Virginia	2021 Democratic Primary	VA Governor	Virginia	provisional	912	official-final		
Virginia	2021 Republican Primary	VA House District 22	Virginia	total	3939	official-final		
Virginia	2016 General	US President (VA)	Virginia	total	3984631	official-final		
Virginia	2016 General	US House VA District 2	Virginia	total	309915	official-final		
Virginia	2018 General	US Senator VA	Virginia	total	3351757	official-final		
Virginia	2018 General	US House VA District 1	Virginia	total	273029	official-final		
Virginia	2020 General	US President (VA)	Virginia	total	4460524	official-final		
Virginia	2020 General	US Senate VA	Virginia	total	4405087	official-final		
Virginia	2020 General	US House VA District 3	Virginia	total	341361	official-final		
Virginia	2020 General	US President (VA)	Virginia;Bath County	total	2501	official-final		
Virginia	2020 Democratic Primary	US President (VA)	Virginia	total	1323693	official-final		
Virginia	2020 Democratic Primary	US House VA District 5	Virginia	total	54037	official-final		
Virginia	2020 Republican Primary	US Senator	Virginia	total	309804	official-final		
Virginia	2020 Republican Primary	US House VA District 2	Virginia	total	52514	official-final		
Virginia	2000 General	US President (VA)	Virginia	total	2737915	official-final	https://doi.org/10.7910/DVN/VOQCHQ	
Virginia	2004 General	US President (VA)	Virginia	total	3198367	official-final	https://doi.org/10.7910/DVN/VOQCHQ	
Virginia	2008 General	US President (VA)	Virginia	total	3723260	official-final	https://doi.org/10.7910/DVN/VOQCHQ	
Virginia	2012 General	US President (VA)	Virginia	total	3854489	official-final	https://doi.org/10.7910/DVN/VOQCHQ	
