Jurisdiction	Election	Contest	ReportingUnit	VoteType	Count	Status	Source	Note
Wisconsin	2016 General	US President (WI)	Wisconsin	total	2953386	official-final		
Wisconsin	2016 General	US House WI District 5	Wisconsin	total	390844	official-final		
Wisconsin	2016 General	US President (WI)	Wisconsin;Chippewa County	total	31568	official-final		
Wisconsin	2018 General	WI Governor	Wisconsin	total	2673308	official-final		
Wisconsin	2018 General	WI Senate District 21	Wisconsin	total	83783	official-final		
Wisconsin	2018 General	WI House District 10	Wisconsin	total	21149	official-final		
Wisconsin	2018 General	US House WI District 3	Wisconsin	total	314989	official-final		
Wisconsin	2020 General	US President (WI)	Wisconsin	total	3298041	official-final		
Wisconsin	2020 General	US House WI District 1	Wisconsin	total	401754	official-final		
Wisconsin	2020 General	WI Senate District 2	Wisconsin	total	81968	official-final		
Wisconsin	2020 General	WI House District 1	Wisconsin	total	37920	official-final		
Wisconsin	2020 General	US President (WI)	Wisconsin;Adams County	total	11818	official-final		
Wisconsin	2020 Democratic Primary	US President (WI)	Wisconsin	total	925065	official-final		
Wisconsin	2020 Republican Primary	US House WI District 1	Wisconsin	total	40404	official-final		
Wisconsin	2020 Republican Primary	WI Senate District 28	Wisconsin	total	20309	official-final		
Wisconsin	2020 Democratic Primary	WI House District 4	Wisconsin	total	4724	official-final		
Wisconsin	2000 General	US President (WI)	Wisconsin	total	2598607	official-final	https://doi.org/10.7910/DVN/VOQCHQ	
Wisconsin	2004 General	US President (WI)	Wisconsin	total	2997007	official-final	https://doi.org/10.7910/DVN/VOQCHQ	
Wisconsin	2008 General	US President (WI)	Wisconsin	total	2983417	official-final	https://doi.org/10.7910/DVN/VOQCHQ	
Wisconsin	2012 General	US President (WI)	Wisconsin	total	3071434	official-final	https://doi.org/10.7910/DVN/VOQCHQ	
