Jurisdiction	Election	Contest	ReportingUnit	VoteType	Count	Status	Source	Note
Wyoming	2020 General	US President (WY)	Wyoming	total	276765	official-final		
Wyoming	2020 General	US House WY District 1	Wyoming	total	270892	official-final		
Wyoming	2020 General	WY Senate District 4	Wyoming	total	9590	official-final		
Wyoming	2020 General	WY House District 3	Wyoming	total	4111	official-final		
Wyoming	2020 General	US President (WY)	Wyoming;Crook County	total	4119	official-final		
Wyoming	2000 General	US President (WY)	Wyoming	total	218351	official-final	https://doi.org/10.7910/DVN/VOQCHQ	
Wyoming	2004 General	US President (WY)	Wyoming	total	243428	official-final	https://doi.org/10.7910/DVN/VOQCHQ	
Wyoming	2008 General	US President (WY)	Wyoming	total	256035	official-final	https://doi.org/10.7910/DVN/VOQCHQ	
Wyoming	2012 General	US President (WY)	Wyoming	total	249061	official-final	https://doi.org/10.7910/DVN/VOQCHQ	
Wyoming	2016 General	US President (WY)	Wyoming	total	255849	official-final	https://doi.org/10.7910/DVN/VOQCHQ	
