	Contest_Id	ReportingUnit_Id	Selection_Id	CountItemType_Id	Contest	ReportingUnit	Selection	CountItemType	Count	contest_type
0	28227	105	43	54	90;3	Michigen;LAPEER	Yes	election-day	20738	BallotMeasure
1	28225	105	43	54	90;1	Michigen;LAPEER	Yes	election-day	20595	BallotMeasure
2	28227	105	44	54	90;3	Michigen;LAPEER	No	election-day	18221	BallotMeasure
3	28226	105	43	54	90;2	Michigen;LAPEER	Yes	election-day	18510	BallotMeasure
4	28226	105	44	54	90;2	Michigen;LAPEER	No	election-day	20115	BallotMeasure
5	28225	105	44	54	90;1	Michigen;LAPEER	No	election-day	18828	BallotMeasure
6	28225	138	44	54	90;1	Michigen;SCHOOLCRAFT	No	election-day	1974	BallotMeasure
7	28227	138	44	54	90;3	Michigen;SCHOOLCRAFT	No	election-day	1465	BallotMeasure
8	28225	138	43	54	90;1	Michigen;SCHOOLCRAFT	Yes	election-day	1810	BallotMeasure
9	28227	138	43	54	90;3	Michigen;SCHOOLCRAFT	Yes	election-day	2185	BallotMeasure
10	28226	138	44	54	90;2	Michigen;SCHOOLCRAFT	No	election-day	1544	BallotMeasure
11	28226	138	43	54	90;2	Michigen;SCHOOLCRAFT	Yes	election-day	2053	BallotMeasure
12	28226	142	43	54	90;2	Michigen;WASHTENAW	Yes	election-day	128570	BallotMeasure
13	28225	142	43	54	90;1	Michigen;WASHTENAW	Yes	election-day	114966	BallotMeasure
14	28227	142	44	54	90;3	Michigen;WASHTENAW	No	election-day	33797	BallotMeasure
15	28225	142	44	54	90;1	Michigen;WASHTENAW	No	election-day	54633	BallotMeasure
16	28227	142	43	54	90;3	Michigen;WASHTENAW	Yes	election-day	133980	BallotMeasure
17	28226	142	44	54	90;2	Michigen;WASHTENAW	No	election-day	38895	BallotMeasure
18	28227	106	43	54	90;3	Michigen;LEELANAU	Yes	election-day	8854	BallotMeasure
19	28225	106	44	54	90;1	Michigen;LEELANAU	No	election-day	6936	BallotMeasure
20	28225	106	43	54	90;1	Michigen;LEELANAU	Yes	election-day	7174	BallotMeasure
21	28226	106	43	54	90;2	Michigen;LEELANAU	Yes	election-day	8279	BallotMeasure
22	28226	106	44	54	90;2	Michigen;LEELANAU	No	election-day	5546	BallotMeasure
